Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;1999;p51p52;34397.779425;50053.9811478;;;49726.734375;0.0066120028;0.0066120028;34172.890625
;IN;1999;p52p53;34980.1146583;50901.3671498;;;50544.171875;0.0067239404;0.0067239404;34734.6445312
;IN;1999;p53p54;35678.1107232;51917.0571875;;;51544.4921875;0.0068581104;0.0068581104;35422.078125
;IN;1999;p54p55;36195.0185155;52669.2363491;;;52308.1835938;0.0069574714;0.0069574714;35946.8984375
;IN;1999;p55p56;36753.7874667;53482.3298399;;;53131.25;0.0070648789;0.0070648789;36512.5195312
;IN;1999;p56p57;37384.185512;54399.6545162;;;54032.515625;0.0071860552;0.0071860552;37131.8828125
;IN;1999;p57p58;38009.0020696;55308.857282;;;54921.4453125;0.0073061585;0.0073061585;37742.765625
;IN;1999;p58p59;38649.6328427;56241.0721277;;;55844.25;0.0074293017;0.0074293017;38376.9335938
;IN;1999;p59p60;39347.0087423;57255.8597309;;;56850.1171875;0.0075633526;0.0075633526;39068.1757812
;IN;1999;p60p61;40072.9122466;58312.1593213;;;57892.2226562;0.0077028871;0.0077028871;39784.328125
;IN;1999;p61p62;40813.3896359;59389.6661227;;;58967.9648438;0.0078452229;0.0078452229;40523.59375
;IN;1999;p62p63;41554.4871905;60468.0753585;;;60049.4648438;0.0079876781;0.0079876781;41266.8125
;IN;1999;p63p64;42250.0025942;61480.1556581;;;61045.140625;0.0081213713;0.0081213713;41951.0546875
;IN;1999;p64p65;43007.5345297;62582.4794084;;;62086.90625;0.0082669854;0.0082669854;42666.96875
;IN;1999;p65p66;43904.293579;63887.3997055;;;63355.328125;0.008439362;0.008439362;43538.6484375
;IN;1999;p66p67;44757.0208907;65128.2471526;;;64598.6914062;0.0086032748;0.0086032748;44393.1054688
;IN;1999;p67p68;45640.4463857;66413.7651079;;;65893.5703125;0.0087730885;0.0087730885;45282.9648438
;IN;1999;p68p69;46549.2986586;67736.2828779;;;67194.65625;0.0089477897;0.0089477897;46177.0859375
;IN;1999;p69p70;47474.8953952;69083.1663795;;;68524.3984375;0.0091257095;0.0091257095;47090.9023438
;IN;1999;p70p71;48442.3532907;70490.9642105;;;69930.96875;0.009311676;0.009311676;48057.515625
;IN;1999;p71p72;49346.2442412;71806.2625044;;;71238.2578125;0.0094854236;0.0094854236;48955.9023438
;IN;1999;p72p73;50452.3090851;73415.7544476;;;72803.5234375;0.0096980333;0.0096980333;50031.5742188
;IN;1999;p73p74;51781.6334435;75350.1228134;;;74690.1953125;0.0099535584;0.0099535584;51328.125
;IN;1999;p74p75;52888.9386181;76961.4196256;;;76268.9765625;0.0101664066;0.0101664066;52413.0820312
;IN;1999;p75p76;54148.8044609;78794.7153266;;;78064.6015625;0.0104085803;0.0104085803;53647.0585938
;IN;1999;p76p77;55557.1998972;80844.144092;;;80053.5;0.0106793046;0.0106793046;55013.859375
;IN;1999;p77p78;57069.1629416;83044.27942;;;82192.359375;0.0109699368;0.0109699368;56483.7148438
;IN;1999;p78p79;58530.8925953;85171.317553;;;84276.59375;0.0112509131;0.0112509131;57916.0234375
;IN;1999;p79p80;60710.1535214;88342.4724106;;;87418.6953125;0.0116698146;0.0116698146;60075.3242188
;IN;1999;p80p81;62090.3314358;90350.8404059;;;89429.2578125;0.0119351149;0.0119351149;61457.0078125
;IN;1999;p81p82;63822.7632506;92871.7912012;;;91894.125;0.012268126;0.012268126;63150.8945312
;IN;1999;p82p83;66348.076424;96546.5045137;;;95436.2734375;0.0127535462;0.0127535462;65585.109375
;IN;1999;p83p84;68238.9604774;99298.0273255;;;98048.0;0.0131170154;0.0131170154;67379.9296875
;IN;1999;p84p85;70555.7430628;102669.297035;;;101324.875;0.0135623515;0.0135623515;69631.8359375
;IN;1999;p85p86;73850.06123;107463.029136;;;106011.835938;0.0141955912;0.0141955912;72852.78125
;IN;1999;p86p87;76471.0349037;111276.942971;;;109701.21875;0.0146993995;0.0146993995;75388.171875
;IN;1999;p87p88;79486.743802;115665.25637;;;113935.5;0.0152790844;0.0152790844;78298.03125
;IN;1999;p88p89;82741.9915542;120402.135098;;;118472.398438;0.015904814;0.015904814;81415.8515625
;IN;1999;p89p90;87126.0952259;126781.670236;;;124469.75;0.0167475343;0.0167475343;85537.3125
;IN;1999;p90p91;92233.7767819;134214.120836;;;131332.0;0.017729342;0.017729342;90253.140625
;IN;1999;p91p92;98098.0600254;142747.541534;;;139319.8125;0.018856585;0.018856585;95742.4765625
;IN;1999;p92p93;104335.992873;151824.679022;;;147742.109375;0.0200556517;0.0200556517;101530.390625
;IN;1999;p93p94;112188.991249;163251.981576;;;157457.890625;0.0215651691;0.0215651691;108207.21875
;IN;1999;p94p95;122877.230415;178804.989087;;;171361.90625;0.0236196816;0.0236196816;117762.242188
;IN;1999;p95p96;136637.1484;198827.754711;;;189654.15625;0.0262646377;0.0262646377;130332.921875
;IN;1999;p96p97;154804.426256;225263.896767;;;211470.890625;0.0297567844;0.0297567844;145325.6875
;IN;1999;p97p98;186982.013844;272087.16238;;;244411.71875;0.035942018;0.035942018;167963.0625
;IN;1999;p98p99;281357.143947;409417.276764;;;315229.3125;0.0540829748;0.0540829748;216629.875
;IN;1999;p1p100;52498.0183498;76392.5714015;8.58427619934;8.58427619934;8899.12792969;0.9990350604;0.9990350604;6115.60205078
;IN;1999;p2p100;52966.3801801;77074.1088326;6.6920838356;6.6920838356;11517.2060547;0.9977666736;0.9977666736;7914.78125
;IN;1999;p3p100;53427.286868;77744.7979018;5.65150022507;5.65150022507;13756.4882812;0.9961792231;0.9961792231;9453.64648438
;IN;1999;p4p100;53882.3950065;78407.0492031;5.0985121727;5.0985121727;15378.4179688;0.9943075776;0.9943075776;10568.2587891
;IN;1999;p5p100;54335.5525582;79066.4621049;4.7015004158;4.70150089264;16817.28125;0.9922253489;0.9922253489;11557.0664062
;IN;1999;p6p100;54787.8287419;79724.5924829;4.40319013596;4.40319013596;18106.0976562;0.9899529815;0.9899529815;12442.7578125
;IN;1999;p7p100;55240.4988075;80383.2960186;4.20302391052;4.20302391052;19125.1113281;0.9875137806;0.9875137806;13143.0371094
;IN;1999;p8p100;55695.641693;81045.5978821;4.02163076401;4.02163076401;20152.421875;0.984944284;0.984944284;13849.0195312
;IN;1999;p9p100;56153.168545;81711.3687779;3.88069748878;3.88069725037;21055.8476562;0.9822415113;0.9822415113;14469.8652344
;IN;1999;p10p100;56614.0477325;82382.01783;3.75655698776;3.75655722618;21930.1914062;0.9794208407;0.9794208407;15070.7275391
;IN;1999;p11p100;57078.6117525;83058.0288716;3.6514313221;3.6514313221;22746.7050781;0.9764860272;0.9764860272;15631.8457031
;IN;1999;p12p100;57547.4724902;83740.2922885;3.55540847778;3.55540847778;23552.9316406;0.9734452963;0.9734452963;16185.8964844
;IN;1999;p13p100;58020.8779049;84429.1688991;3.47500514984;3.47500514984;24296.1269531;0.9703003168;0.9703003168;16696.6308594
;IN;1999;p14p100;58499.4300222;85125.5347419;3.40516257286;3.40516257286;24998.9628906;0.9670584202;0.9670584202;17179.6289062
;IN;1999;p15p100;58983.5403165;85829.9885744;3.34030556679;3.34030556679;25695.25;0.9637233615;0.9637233615;17658.1269531
;IN;1999;p16p100;59473.4257513;86542.8461114;3.27832984924;3.27832984924;26398.4550781;0.9602954388;0.9602954388;18141.3789062
;IN;1999;p17p100;59969.2278199;87264.313247;3.21796298027;3.21796274185;27117.875;0.9567735791;0.9567735791;18635.7734375
;IN;1999;p18p100;60471.1440769;87994.6774532;3.16629624367;3.16629624367;27791.0429688;0.9531574845;0.9531574845;19098.3847656
;IN;1999;p19p100;60979.8373864;88734.9032977;3.12182688713;3.12182688713;28424.03125;0.9494539499;0.9494539499;19533.3828125
;IN;1999;p20p100;61495.8448383;89485.7723277;3.08219981194;3.08219981194;29033.0859375;0.9456673265;0.9456673265;19951.9335938
;IN;1999;p21p100;62019.5148367;90247.7915238;3.03779959679;3.03779959679;29708.2773438;0.941798687;0.941798687;20415.9335938
;IN;1999;p22p100;62550.6849216;91020.7244823;2.99892544746;2.99892544746;30351.1132812;0.937841177;0.937841177;20857.6992188
;IN;1999;p23p100;63090.0741712;91805.6175709;2.96587157249;2.96587157249;30954.0097656;0.9338011146;0.9338011146;21272.0175781
;IN;1999;p24p100;63638.3007889;92603.370369;2.93670153618;2.93670153618;31533.1230469;0.9296827912;0.9296827912;21669.9921875
;IN;1999;p25p100;64195.6645216;93414.419054;2.90886211395;2.90886187553;32113.734375;0.9254854321;0.9254854321;22068.9960938
;IN;1999;p26p100;64762.5735058;94239.3575262;2.87576365471;2.87576365471;32770.203125;0.9212095737;0.9212095737;22520.1308594
;IN;1999;p27p100;65338.8465714;95077.9221558;2.85198569298;2.85198545456;33337.4492188;0.9168471694;0.9168471694;22909.9492188
;IN;1999;p28p100;65925.7912164;95932.0155504;2.82319808006;2.82319808006;33979.9101562;0.9124109149;0.9124109149;23351.4570312
;IN;1999;p29p100;66523.089697;96801.1753447;2.79780435562;2.79780435562;34598.9804688;0.9078903198;0.9078903198;23776.890625
;IN;1999;p30p100;67131.3496499;97686.285742;2.77361059189;2.77361059189;35219.8984375;0.9032875896;0.9032875896;24203.5957031
;IN;1999;p31p100;67750.9847454;98587.9486955;2.75020599365;2.75020575523;35847.4804688;0.8986018896;0.8986018896;24634.8769531
;IN;1999;p32p100;68382.4375477;99506.8082029;2.7266459465;2.72664618492;36494.2148438;0.8938324451;0.8938324451;25079.3242188
;IN;1999;p33p100;69026.0798523;100443.405283;2.70445108414;2.70445108414;37140.0351562;0.8889772296;0.8889772296;25523.1386719
;IN;1999;p34p100;69682.4845204;101398.573536;2.68698072433;2.68698072433;37736.9921875;0.8840364814;0.8840364814;25933.3769531
;IN;1999;p35p100;70352.7701101;102373.940634;2.66798710823;2.66798710823;38371.2265625;0.8790168166;0.8790168166;26369.2324219
;IN;1999;p36p100;71037.2093761;103369.903475;2.64994597435;2.64994597435;39008.3046875;0.8739135861;0.8739135861;26807.0410156
;IN;1999;p37p100;71736.4861471;104387.457133;2.63462281227;2.63462281227;39621.40625;0.8687269092;0.8687269092;27228.3710938
;IN;1999;p38p100;72451.4934134;105427.901047;2.61730408669;2.6173043251;40281.1015625;0.8634588718;0.8634588718;27681.7246094
;IN;1999;p39p100;73182.3948074;106491.473324;2.6013212204;2.6013212204;40937.4570312;0.8581023216;0.8581023216;28132.7792969
;IN;1999;p40p100;73929.9746992;107579.315343;2.58165502548;2.58165502548;41670.6796875;0.8526571393;0.8526571393;28636.6601562
;IN;1999;p41p100;74694.2455017;108691.445166;2.56345295906;2.56345295906;42400.40625;0.8471138477;0.8471138477;29138.1386719
;IN;1999;p42p100;75476.2790417;109829.422463;2.54871177673;2.54871177673;43092.1328125;0.8414747715;0.8414747715;29613.5019531
;IN;1999;p43p100;76277.5705248;110995.422986;2.53217959404;2.53217959404;43833.9453125;0.8357460499;0.8357460499;30123.2871094
;IN;1999;p44p100;77098.4484034;112189.924682;2.51918339729;2.51918315887;44534.2460938;0.8299201131;0.8299201131;30604.5410156
;IN;1999;p45p100;77940.2403683;113414.859542;2.50554656982;2.50554656982;45265.515625;0.8239997029;0.8239997029;31107.0800781
;IN;1999;p46p100;78803.809715;114671.483793;2.49261569977;2.49261569977;46004.4765625;0.81798172;0.81798172;31614.9042969
;IN;1999;p47p100;79690.4183786;115961.633741;2.4861137867;2.48611354828;46643.7382812;0.8118664622;0.8118664622;32054.2128906
;IN;1999;p48p100;80602.6299179;117289.039752;2.47572541237;2.47572517395;47375.6289062;0.8056662679;0.8056662679;32557.1777344
;IN;1999;p49p100;81540.4242913;118653.672664;2.46619439125;2.46619439125;48112.0507812;0.7993661761;0.7993661761;33063.2578125
;IN;1999;p50p100;82505.4605021;120057.946577;2.45503091812;2.45503091812;48902.8242188;0.7929673791;0.7929673791;33606.6875
;IN;1999;p51p100;83498.8495345;121503.478141;2.44342374802;2.44342374802;49726.734375;0.7864646316;0.7864646316;34172.890625
;IN;1999;p52p100;84521.7884951;122992.009328;2.43335700035;2.43335700035;50544.171875;0.7798526287;0.7798526287;34734.6445312
;IN;1999;p53p100;85575.8666619;124525.852779;2.41589069366;2.41589045525;51544.4921875;0.7731286883;0.7731286883;35422.078125
;IN;1999;p54p100;86660.6004866;126104.304857;2.41079497337;2.41079497337;52308.1835938;0.7662705779;0.7662705779;35946.8984375
;IN;1999;p55p100;87782.0578638;127736.195268;2.4041633606;2.40416312218;53131.25;0.7593131065;0.7593131065;36512.5195312
;IN;1999;p56p100;88941.7912819;129423.783119;2.39529442787;2.39529442787;54032.515625;0.7522482276;0.7522482276;37131.8828125
;IN;1999;p57p100;90140.8053695;131168.530296;2.38829350471;2.38829350471;54921.4453125;0.7450621724;0.7450621724;37742.765625
;IN;1999;p58p100;91382.0387814;132974.712986;2.38117098808;2.38117098808;55844.25;0.7377560139;0.7377560139;38376.9335938
;IN;1999;p59p100;92668.1950239;134846.265203;2.37196111679;2.37196111679;56850.1171875;0.7303267121;0.7303267121;39068.1757812
;IN;1999;p60p100;94001.2246809;136786.025339;2.36277008057;2.36277031898;57892.2226562;0.7227633595;0.7227633595;39784.328125
;IN;1999;p61p100;95384.0019228;138798.17575;2.35378932953;2.35378956795;58967.9648438;0.7150604725;0.7150604725;40523.59375
;IN;1999;p62p100;96820.0706672;140887.873372;2.34619688988;2.34619688988;60049.4648438;0.7072152495;0.7072152495;41266.8125
;IN;1999;p63p100;98313.7350855;143061.381426;2.34353423119;2.34353423119;61045.140625;0.6992275715;0.6992275715;41951.0546875
;IN;1999;p64p100;99871.060988;145327.526586;2.34071135521;2.34071135521;62086.90625;0.6911062002;0.6911062002;42666.96875
;IN;1999;p65p100;101495.733173;147691.670792;2.33116412163;2.33116412163;63355.328125;0.6828392148;0.6828392148;43538.6484375
;IN;1999;p66p100;103189.599043;150156.502294;2.3244509697;2.32445120811;64598.6914062;0.6743998528;0.6743998528;44393.1054688
;IN;1999;p67p100;104960.283229;152733.116086;2.3178756237;2.31787586212;65893.5703125;0.6657965779;0.6657965779;45282.9648438
;IN;1999;p68p100;106814.028131;155430.595804;2.31313920021;2.31313920021;67194.65625;0.6570234895;0.6570234895;46177.0859375
;IN;1999;p69p100;108758.051662;158259.444608;2.30953431129;2.30953431129;68524.3984375;0.6480756998;0.6480756998;47090.9023438
;IN;1999;p70p100;110800.823538;161231.987216;2.30558776855;2.30558776855;69930.96875;0.6389499903;0.6389499903;48057.515625
;IN;1999;p71p100;112951.115615;164360.988009;2.30720114708;2.30720114708;71238.2578125;0.6296383142;0.6296383142;48955.9023438
;IN;1999;p72p100;115222.718164;167666.51392;2.3029999733;2.3029999733;72803.5234375;0.6201528907;0.6201528907;50031.5742188
;IN;1999;p73p100;117621.622204;171157.28279;2.29156279564;2.29156303406;74690.1953125;0.6104548573;0.6104548573;51328.125
;IN;1999;p74p100;120153.929464;174842.173558;2.29244160652;2.29244160652;76268.9765625;0.6005012989;0.6005012989;52413.0820312
;IN;1999;p75p100;122844.529098;178757.403715;2.28986501694;2.28986501694;78064.6015625;0.5903348923;0.5903348923;53647.0585938
;IN;1999;p76p100;125706.850958;182922.515731;2.28500342369;2.28500342369;80053.5;0.579926312;0.579926312;55013.859375
;IN;1999;p77p100;128756.835787;187360.705803;2.27953910828;2.27953910828;82192.359375;0.5692470074;0.5692470074;56483.7148438
;IN;1999;p78p100;132015.366371;192102.361547;2.27942728996;2.27942728996;84276.59375;0.5582770705;0.5582770705;57916.0234375
;IN;1999;p79p100;135514.627026;197194.316023;2.2557451725;2.25574541092;87418.6953125;0.5470261574;0.5470261574;60075.3242188
;IN;1999;p80p100;139254.850702;202636.908204;2.2658905983;2.2658905983;89429.2578125;0.5353563428;0.5353563428;61457.0078125
;IN;1999;p81p100;143316.141189;208546.701246;2.26942372322;2.26942372322;91894.125;0.5234212279;0.5234212279;63150.8945312
;IN;1999;p82p100;147732.439964;214973.085137;2.25253009796;2.25253009796;95436.2734375;0.5111531019;0.5111531019;65585.109375
;IN;1999;p83p100;152519.755466;221939.354586;2.26357841492;2.26357865334;98048.0;0.4983995557;0.4983995557;67379.9296875
;IN;1999;p84p100;157787.305153;229604.437539;2.26602244377;2.26602244377;101324.875;0.4852825403;0.4852825403;69631.8359375
;IN;1999;p85p100;163602.742626;238066.78024;2.24566221237;2.24566221237;106011.835938;0.4717201889;0.4717201889;72852.78125
;IN;1999;p86p100;170013.64844;247395.619604;2.25517678261;2.25517654419;109701.21875;0.4575245976;0.4575245976;75388.171875
;IN;1999;p87p100;177209.234096;257866.287038;2.26326560974;2.26326560974;113935.5;0.4428251982;0.4428251982;78298.03125
;IN;1999;p88p100;185352.774954;269716.372927;2.27661776543;2.27661776543;118472.398438;0.4275461137;0.4275461137;81415.8515625
;IN;1999;p89p100;194681.02799;283290.394547;2.27597784996;2.27597784996;124469.75;0.4116412997;0.4116412997;85537.3125
;IN;1999;p91p100;218014.603987;317244.283217;2.27709388733;2.27709388733;139319.8125;0.3771644235;0.3771644235;95742.4765625
;IN;1999;p92p100;233004.171983;339056.375927;2.29492044449;2.29492044449;147742.109375;0.3583078384;0.3583078384;101530.390625
;IN;1999;p93p100;251385.340427;365803.761199;2.3231844902;2.32318472862;157457.890625;0.3382521868;0.3382521868;108207.21875
;IN;1999;p94p100;274584.731957;399562.391136;2.33168745041;2.33168745041;171361.90625;0.3166870177;0.3166870177;117762.242188
;IN;1999;p95p100;304926.232265;443713.871546;2.339594841;2.339594841;189654.15625;0.2930673361;0.2930673361;130332.921875
;IN;1999;p96p100;346998.503231;504935.400755;2.38772988319;2.38773012161;211470.890625;0.2668026984;0.2668026984;145325.6875
;IN;1999;p97p100;411063.195556;598159.235417;2.44734287262;2.4473426342;244411.71875;0.2370459139;0.2370459139;167963.0625
;IN;1999;p98p100;523103.786412;761195.271936;2.41473531723;2.41473507881;315229.3125;0.2011038959;0.2011038959;216629.875
;IN;1999;p0p90;34977.3135782;50897.291154;;;0.0;0.6051061749;0.6051061749;0.0
;IN;1999;p0p99;44822.9596549;65224.1980458;;;0.0;0.8529790193;0.8529790193;0.0
;IN;1999;p99.1p100;805941.609509;1172767.16122;1.96452879906;1.96452867985;596971.25;0.1394275874;0.1394275874;410246.78125
;IN;1999;p99.1p99.2;426388.462483;620459.82094;;;596971.25;0.0081961155;0.0081961155;410246.78125
;IN;1999;p99.2p100;853385.752887;1241805.57876;1.92424726486;1.92424738407;645346.125;0.1312314719;0.1312314719;443490.6875
;IN;1999;p99.2p99.3;461140.97647;671029.994626;;;645346.125;0.0088641346;0.0088641346;443490.6875
;IN;1999;p99.3p100;909420.720947;1323344.94792;1.89573323727;1.89573311806;698065.0;0.1223673373;0.1223673373;479719.78125
;IN;1999;p99.3p99.4;498458.261648;725332.29902;;;698065.0;0.0095814541;0.0095814541;479719.78125
;IN;1999;p99.4p100;977914.464163;1423013.72273;1.88128972054;1.88128960133;756403.3125;0.1127858832;0.1127858832;519810.65625
;IN;1999;p99.4p99.5;540096.548677;785922.315841;;;756403.3125;0.0103818327;0.0103818327;519810.65625
;IN;1999;p99.5p100;1065478.04726;1550432.00411;1.88682103157;1.88682103157;821716.5;0.1024040505;0.1024040505;564694.8125
;IN;1999;p99.5p99.6;588530.297174;856400.758772;;;821716.5;0.0113128349;0.0113128349;564694.8125
;IN;1999;p99.6p100;1184714.98478;1723939.81545;1.92248487473;1.92248475552;896724.8125;0.0910912156;0.0910912156;616241.5
;IN;1999;p99.6p99.7;648217.720566;943255.003877;;;896724.8125;0.0124601573;0.0124601573;616241.5
;IN;1999;p99.7p100;1363547.40619;1984168.08597;1.98130548;1.98130536079;1001444.875;0.0786310583;0.0786310583;688206.5625
;IN;1999;p99.7p99.8;740076.21981;1076923.03903;;;1001444.875;0.0142258778;0.0142258778;688206.5625
;IN;1999;p99.8p100;1675282.99937;2437790.60944;2.07507038116;2.07507038116;1174799.0;0.0644051805;0.0644051805;807337.875
;IN;1999;p99.8p99.9;899479.249417;1308878.60047;;;1174799.0;0.0172899514;0.0172899514;807337.875
;IN;1999;p99.91p100;2610834.6167;3799159.97104;2.53160667419;2.53160691261;1500691.125;0.0451673381;0.0451673381;1031295.5
;IN;1999;p99.91p99.92;1051780.99853;1530500.72279;;;1500691.125;0.0020217523;0.0020217523;1031295.5
;IN;1999;p99.92p100;2805716.31897;4082742.37707;2.61299514771;2.61299514771;1562476.0;0.0431455858;0.0431455858;1073754.875
;IN;1999;p99.92p99.93;1099270.15773;1599604.64516;;;1562476.0;0.0021130368;0.0021130368;1073754.875
;IN;1999;p99.93p100;3049494.342;4437476.33877;2.70609474182;2.70609474182;1639808.25;0.041032549;0.041032549;1126898.625
;IN;1999;p99.93p99.94;1159678.1357;1687507.40636;;;1639808.25;0.0022291541;0.0022291541;1126898.625
;IN;1999;p99.94p100;3364463.70972;4895804.49417;2.81401562691;2.81401562691;1739793.0;0.0388033949;0.0388033949;1195609.5
;IN;1999;p99.94p99.95;1239487.59803;1803642.26708;;;1739793.0;0.0023825653;0.0023825653;1195609.5
;IN;1999;p99.95p100;3789458.93205;5514236.93959;2.9412124157;2.9412124157;1874817.625;0.0364208296;0.0364208296;1288400.25
;IN;1999;p99.95p99.96;1350609.59485;1965341.61009;;;1874817.625;0.002596166;0.002596166;1288400.25
