Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2009;p99p99.1;1345261.29083;1732162.99322;1003627.47055;748409.733416;;;;;726561.0;0.0087172408;0.0091920653;0.0124567989;0.0068864734;1305886.25;1680375.25;958360.0
;TH;2008;p0p100;145627.377709;192383.791512;;;;4.488384706e+16;;;;1.0;1.0;;;0.0;0.0;
;TH;2008;p0p50;40814.7413102;47544.161173;;;;;;;;0.1401341628;0.1235659221;;;0.0;0.0;
;TH;2008;p50p90;120437.409898;158409.624837;;;;;;;;0.3308098018;0.329361686;;;69934.3984375;85504.3671875;
;TH;2008;p90p99;505717.743704;681406.552798;;;;;;;;0.3125414848;0.3187721372;;;260722.40625;347355.75;
;TH;2008;p99p100;3153044.34034;4392126.89175;;;2.4263415337;2.4643754959;;;;0.2165145305;0.2283002557;;;1299505.625;1782247.375;
;TH;2008;p99.9p100;12510137.6631;16790028.1361;;;2.424870491;2.1694624424;;;;0.0859051215;0.0872736108;;;5159095.0;7739257.5;
;TH;2008;p99.99p100;49112519.6472;57767009.3818;;;2.5338189602;2.2282214165;;;;0.0337247847;0.030026963;;;19382806.0;25925166.0;
;TH;2008;p99.999p100;199704876.959;210727781.881;;;2.5749177933;2.3212189674;;;;0.0137134157;0.0109535102;;;77557768.0;90783240.0;
;TH;2008;p0p10;18581.1569254;18902.0768069;;;;;;;;0.0127593844;0.009825192;;;0.0;0.0;
;TH;2008;p10p20;30780.1937429;34452.0341379;;;;;;;;0.0211362686;0.0179079713;;;25846.0761719;26914.78125;
;TH;2008;p20p30;40661.8679336;47170.4666646;;;;;;;;0.0279218568;0.0245189401;;;35810.953125;41051.6132812;
;TH;2008;p30p40;51093.1218238;60580.306271;;;;;;;;0.0350848327;0.0314892984;;;45928.6289062;53611.5234375;
;TH;2008;p40p50;62957.3661253;76615.9219847;;;;;;;;0.0432318202;0.0398245202;;;56828.3554688;67998.34375;
;TH;2008;p50p60;77344.2338625;96149.1818392;;;;;;;;0.0531110531;0.0499777975;;;69934.3984375;85504.3671875;
;TH;2008;p60p70;95863.8488506;123125.766794;;;;;;;;0.0658281776;0.0640000729;;;86234.8359375;108080.851562;
;TH;2008;p70p80;122892.353554;163146.562168;;;;;;;;0.0843882211;0.0848026546;;;107765.1875;140433.3125;
;TH;2008;p80p90;185649.203325;251216.988546;;;;;;;;0.12748235;0.130581161;;;140239.28125;190638.5;
;TH;2008;p90p100;770450.431148;1052478.60438;;;2.9550602436;3.0299732685;;;;0.5290560377;0.5470723948;;;260722.40625;347355.75;
;TH;2008;p0p1;7552.4798003;7122.02436499;;;;;;;;0.0005186168;0.0003701988;;;0.0;0.0;
;TH;2008;p1p2;12254.4532035;11987.1479476;;;;;;;;0.0008414938;0.0006230851;;;10505.3720703;10141.09375;
;TH;2008;p2p3;15007.3308735;14930.0242296;;;;;;;;0.0010305295;0.0007760542;;;13775.5556641;13604.8339844;
;TH;2008;p3p4;17130.8739367;17232.8119191;;;;;;;;0.0011763498;0.0008957518;;;16142.0185547;16156.2060547;
;TH;2008;p4p5;18905.7173025;19176.384532;;;;;;;;0.0012982255;0.0009967776;;;18063.703125;18251.6308594;
;TH;2008;p5p6;20452.1087349;20882.5080497;;;;;;;;0.0014044137;0.0010854609;;;19710.46875;20062.3789062;
;TH;2008;p6p7;21834.5757246;22417.0749826;;;;;;;;0.0014993455;0.0011652268;;;21166.8144531;21674.4375;
;TH;2008;p7p8;23092.3955799;23820.4481605;;;;;;;;0.001585718;0.0012381733;;;22481.7734375;23138.0625;
;TH;2008;p8p9;24251.5186528;25119.438339;;;;;;;;0.0016653131;0.0013056941;;;23686.6933594;24485.5644531;
;TH;2008;p9p10;25330.1154454;26332.9055443;;;;;;;;0.0017393787;0.0013687694;;;24803.0;25739.1367188;
;TH;2008;p10p11;26312.7551021;27711.0222783;;;;;;;;0.001806855;0.0014404032;;;25846.0761719;26914.78125;
;TH;2008;p11p12;27261.9154648;29315.8423045;;;;;;;;0.0018720323;0.0015238208;;;26783.4160156;28511.7070312;
;TH;2008;p12p13;28233.9050848;30915.8694967;;;;;;;;0.0019387773;0.0016069893;;;27744.2363281;30119.109375;
;TH;2008;p13p14;29226.6878758;32483.5293812;;;;;;;;0.0020069501;0.0016884754;;;28727.0585938;31707.1503906;
;TH;2008;p14p15;30237.0071169;33996.4367353;;;;;;;;0.0020763271;0.0017671154;;;29729.265625;33250.6796875;
;TH;2008;p15p16;31260.1870996;35438.5064494;;;;;;;;0.0021465872;0.0018420734;;;30746.9199219;34730.2617188;
;TH;2008;p16p17;32289.9517276;36801.2077268;;;;;;;;0.0022172995;0.0019129058;;;31774.5839844;36133.375;
;TH;2008;p17p18;33318.1736092;38084.975058;;;;;;;;0.0022879059;0.0019796353;;;32805.0976562;37455.7109375;
;TH;2008;p18p19;34334.6333204;39300.8185236;;;;;;;;0.0023577046;0.0020428342;;;33829.3320312;38702.7148438;
;TH;2008;p19p20;35326.7210278;40472.1334249;;;;;;;;0.0024258296;0.0021037185;;;34835.9179688;39891.2617188;
;TH;2008;p20p21;36281.1352052;41634.4360064;;;;;;;;0.0024913677;0.0021641343;;;35810.953125;41051.6132812;
;TH;2008;p21p22;37203.8433994;42811.7576278;;;;;;;;0.0025547286;0.0022253308;;;36745.7539062;42220.1054688;
;TH;2008;p22p23;38119.627883;44007.7757815;;;;;;;;0.0026176141;0.0022874991;;;37660.8515625;43406.5273438;
;TH;2008;p23p24;39051.0330986;45223.7894599;;;;;;;;0.0026815722;0.0023507068;;;38581.09375;44612.3632812;
;TH;2008;p24p25;40015.2869469;46460.6407684;;;;;;;;0.002747786;0.0024149977;;;39526.5546875;45838.6992188;
;TH;2008;p25p26;41023.0835433;47718.629819;;;;;;;;0.0028169898;0.0024803872;;;40511.40625;47086.1171875;
;TH;2008;p26p27;42077.1998312;48997.4117068;;;;;;;;0.0028893743;0.0025468576;;;41542.640625;48354.6210938;
;TH;2008;p27p28;43170.8612888;50295.8531731;;;;;;;;0.0029644743;0.0026143498;;;42618.5390625;49643.4921875;
;TH;2008;p28p29;44285.9177581;51611.9161433;;;;;;;;0.0030410434;0.002682758;;;43726.9765625;50951.171875;
;TH;2008;p29p30;45390.6903811;52942.4561601;;;;;;;;0.0031169064;0.0027519187;;;44843.4101562;52275.09375;
;TH;2008;p30p31;46442.2026486;54283.4284298;;;;;;;;0.0031891121;0.0028216217;;;45928.6289062;53611.5234375;
;TH;2008;p31p32;47432.3814192;55633.5384393;;;;;;;;0.0032571061;0.0028917997;;;46944.8828125;54956.8007812;
;TH;2008;p32p33;48395.5570403;56995.2408363;;;;;;;;0.0033232458;0.0029625802;;;47915.453125;56312.203125;
;TH;2008;p33p34;49365.7614822;58371.769664;;;;;;;;0.0033898682;0.0030341314;;;48876.9335938;57680.7421875;
;TH;2008;p34p35;50370.8760731;59766.869604;;;;;;;;0.0034588878;0.0031066479;;;49860.5390625;59065.8867188;
;TH;2008;p35p36;51430.8954855;61184.8586863;;;;;;;;0.0035316776;0.0031803541;;;50890.5273438;60471.6601562;
;TH;2008;p36p37;52555.8797827;62630.7133955;;;;;;;;0.0036089285;0.0032555088;;;51982.296875;61902.6953125;
;TH;2008;p37p38;53743.509759;64110.1403399;;;;;;;;0.0036904812;0.0033324086;;;53140.15625;63364.3164062;
;TH;2008;p38p39;54976.2354018;65629.6792742;;;;;;;;0.0037751305;0.0034113934;;;54354.6835938;64862.6328125;
;TH;2008;p39p40;56217.919146;67196.8240411;;;;;;;;0.0038603949;0.0034928527;;;55599.6484375;66404.640625;
;TH;2008;p40p41;57415.7007333;68819.055045;;;;;;;;0.0039426447;0.0035771753;;;56828.3554688;67998.34375;
;TH;2008;p41p42;58557.3263486;70493.2412664;;;;;;;;0.0040210383;0.0036641986;;;57992.8515625;69648.5859375;
;TH;2008;p42p43;59682.6971801;72205.7119299;;;;;;;;0.0040983157;0.0037532118;;;59119.1757812;71344.25;
;TH;2008;p43p44;60831.8975111;73943.3696084;;;;;;;;0.0041772295;0.0038435343;;;60250.3125;73071.328125;
;TH;2008;p44p45;62037.7420678;75695.4595406;;;;;;;;0.0042600329;0.0039346069;;;61423.0820312;74817.765625;
;TH;2008;p45p46;63323.3076252;77454.3848605;;;;;;;;0.0043483106;0.0040260348;;;62665.8945312;76574.2265625;
;TH;2008;p46p47;64698.8882015;79216.7323535;;;;;;;;0.0044427696;0.0041176407;;;63995.9921875;78335.03125;
;TH;2008;p47p48;66158.2789043;80984.4639462;;;;;;;;0.0045429836;0.0042095263;;;65416.09375;80099.21875;
;TH;2008;p48p49;67674.3273954;82766.4754969;;;;;;;;0.0046470882;0.0043021543;;;66910.34375;81871.953125;
;TH;2008;p49p50;69193.495286;84580.3257996;;;;;;;;0.0047514071;0.0043964372;;;68439.3828125;83666.125;
;TH;2008;p50p51;70637.8925274;86452.6665955;;;;;;;;0.0048505915;0.0044937604;;;69934.3984375;85504.3671875;
;TH;2008;p51p52;71989.6164789;88401.0298028;;;;;;;;0.0049434123;0.0045950352;;;71324.6796875;87413.90625;
;TH;2008;p52p53;73309.258085;90427.0190053;;;;;;;;0.0050340299;0.004700345;;;72649.296875;89401.0859375;
;TH;2008;p53p54;74660.0055289;92530.5535759;;;;;;;;0.0051267836;0.0048096855;;;73974.546875;91465.875;
;TH;2008;p54p55;76096.5296772;94711.4901775;;;;;;;;0.0052254274;0.0049230494;;;75359.9765625;93608.140625;
;TH;2008;p55p56;77660.7593277;96969.6317215;;;;;;;;0.0053328406;0.0050404263;;;76854.671875;95827.7109375;
;TH;2008;p56p57;79376.5307612;99304.7990367;;;;;;;;0.0054506599;0.0051618069;;;78492.515625;98124.390625;
;TH;2008;p57p58;81242.8064383;101716.857744;;;;;;;;0.0055788141;0.0052871844;;;80286.1875;100498.015625;
;TH;2008;p58p59;83224.9745873;104205.825762;;;;;;;;0.0057149264;0.0054165595;;;82219.4765625;102948.515625;
;TH;2008;p59p60;85243.9652129;106771.944971;;;;;;;;0.0058535673;0.0055499449;;;84237.578125;105475.984375;
;TH;2008;p60p61;87174.9887731;109416.326233;;;;;;;;0.0059861676;0.0056873984;;;86234.8359375;108080.851562;
;TH;2008;p61p62;88969.6335443;112145.822853;;;;;;;;0.006109403;0.0058292761;;;88090.5078125;110765.890625;
;TH;2008;p62p63;90694.132515;114972.967869;;;;;;;;0.0062278216;0.0059762294;;;89837.0625;113542.023438;
;TH;2008;p63p64;92426.2807958;117910.894542;;;;;;;;0.0063467654;0.0061289412;;;91552.515625;116422.382812;
;TH;2008;p64p65;94241.3101644;120972.494252;;;;;;;;0.0064714006;0.0062880814;;;93313.9765625;119420.039062;
;TH;2008;p65p66;96207.5490323;124169.825231;;;;;;;;0.0066064191;0.0064542769;;;95194.0625;122547.59375;
;TH;2008;p66p67;98380.434553;127513.413799;;;;;;;;0.0067556277;0.0066280747;;;97255.828125;125816.484375;
;TH;2008;p67p68;100794.103807;131011.134535;;;;;;;;0.0069213705;0.0068098842;;;99545.703125;129236.101562;
;TH;2008;p68p69;103449.845242;134666.767957;;;;;;;;0.007103736;0.006999902;;;102083.640625;132812.578125;
;TH;2008;p69p70;106300.210079;138478.020671;;;;;;;;0.0072994661;0.0071980087;;;104849.640625;136547.03125;
;TH;2008;p70p71;109236.880563;142434.984499;;;;;;;;0.0075011225;0.0074036894;;;107765.1875;140433.3125;
;TH;2008;p71p72;112176.69079;146530.931558;;;;;;;;0.0077029946;0.0076165944;;;110707.742188;144459.625;
;TH;2008;p72p73;115111.537102;150770.609888;;;;;;;;0.0079045258;0.0078369705;;;113644.710938;148626.109375;
;TH;2008;p73p74;118047.217516;155165.181866;;;;;;;;0.0081061143;0.0080653979;;;116578.34375;152940.796875;
;TH;2008;p74p75;120999.03743;159734.123419;;;;;;;;0.0083088111;0.0083028888;;;119518.554688;157418.4375;
;TH;2008;p75p76;123996.332765;164509.327051;;;;;;;;0.0085146306;0.0085511012;;;122486.765625;162083.90625;
;TH;2008;p76p77;127089.122411;169540.906994;;;;;;;;0.0087270075;0.0088126399;;;125521.328125;166977.046875;
;TH;2008;p77p78;130357.574935;174905.602344;;;;;;;;0.008951447;0.0090914937;;;128685.460938;172159.640625;
;TH;2008;p78p79;133926.018752;180719.24739;;;;;;;;0.0091964863;0.0093936836;;;132078.640625;177725.46875;
;TH;2008;p79p80;137983.123278;187154.70667;;;;;;;;0.0094750812;0.0097281951;;;135853.296875;183815.296875;
;TH;2008;p80p81;142797.604435;194456.656603;;;;;;;;0.009805684;0.0101077463;;;140239.28125;190638.5;
;TH;2008;p81p82;148595.293183;202840.479089;;;;;;;;0.010203802;0.0105435327;;;145521.53125;198456.453125;
;TH;2008;p82p83;155503.311832;212446.178638;;;;;;;;0.0106781647;0.0110428315;;;151853.84375;207427.75;
;TH;2008;p83p84;163653.746606;223427.573867;;;;;;;;0.011237842;0.0116136381;;;159359.515625;217693.375;
;TH;2008;p84p85;173198.973389;235969.533794;;;;;;;;0.0118932975;0.0122655621;;;168180.046875;229421.171875;
;TH;2008;p85p86;184316.608073;250299.641892;;;;;;;;0.0126567278;0.0130104329;;;178479.421875;242814.9375;
;TH;2008;p86p87;197217.508502;266706.668653;;;;;;;;0.0135426121;0.0138632609;;;190450.25;258129.0;
;TH;2008;p87p88;212158.794568;285571.657827;;;;;;;;0.0145686064;0.0148438523;;;204323.703125;275691.65625;
;TH;2008;p88p89;229467.175898;307421.910749;;;;;;;;0.0157571454;0.015979616;;;220386.59375;295945.34375;
;TH;2008;p89p90;249583.01676;333029.584347;;;;;;;;0.0171384681;0.0173106883;;;239012.515625;319517.9375;
;TH;2008;p90p91;273160.143284;363573.679974;;;;;;;;0.0187574718;0.018898353;;;260722.40625;347355.75;
;TH;2008;p91p92;301334.912014;400617.396147;;;;;;;;0.0206921883;0.0208238643;;;286354.40625;380870.0;
;TH;2008;p92p93;335825.840811;446051.134137;;;;;;;;0.0230606254;0.0231854841;;;317360.9375;421754.1875;
;TH;2008;p93p94;378721.788068;502259.091503;;;;;;;;0.0260062218;0.0261071417;;;355693.71875;472136.59375;
;TH;2008;p94p95;431677.961398;571931.956347;;;;;;;;0.0296426378;0.0297286976;;;403475.25;534635.4375;
;TH;2008;p95p96;493582.037198;658714.934318;;;;;;;;0.0338934921;0.0342396274;;;461384.0625;611826.5;
;TH;2008;p96p97;576563.868158;783247.348647;;;;;;;;0.0395917222;0.0407127514;;;528111.3125;711691.0625;
;TH;2008;p97p98;728649.131917;993685.267089;;;;;;;;0.0500351749;0.0516511947;;;637438.375;868900.1875;
;TH;2008;p98p99;1031944.32881;1412578.46528;;;;;;;;0.0708619729;0.0734250247;;;839034.8125;1148401.875;
;TH;2008;p1p100;147022.073648;194255.122494;;;13.9949417114;19.1552429199;;;;0.9994813832;0.9996298012;;;10505.3720703;10141.09375;
;TH;2008;p2p100;148397.253448;196114.99978;;;10.7725057602;14.4150972366;;;;0.9986398895;0.9990067161;;;13775.5556641;13604.8339844;
;TH;2008;p3p100;149772.407293;197982.886131;;;9.278418541;12.2542934418;;;;0.99760936;0.9982306619;;;16142.0185547;16156.2060547;
;TH;2008;p4p100;151154.089941;199865.699409;;;8.3678350449;10.9505662918;;;;0.9964330102;0.9973349102;;;18063.703125;18251.6308594;
;TH;2008;p5p100;152546.178072;201767.692207;;;7.7393479347;10.0570173264;;;;0.9951347847;0.9963381327;;;19710.46875;20062.3789062;
;TH;2008;p6p100;153951.434128;203692.002669;;;7.2732453346;9.3977985382;;;;0.993730371;0.9952526718;;;21166.8144531;21674.4375;
;TH;2008;p7p100;155372.0455;205641.195428;;;6.9110226631;8.8875722885;;;;0.9922310254;0.9940874449;;;22481.7734375;23138.0625;
;TH;2008;p8p100;156809.867773;207617.507895;;;6.6201672554;8.479180336;;;;0.9906453074;0.9928492716;;;23686.6933594;24485.5644531;
;TH;2008;p9p100;158266.552935;209622.981199;;;6.3809437752;8.1441345215;;;;0.9889799943;0.9915435775;;;24803.0;25739.1367188;
;TH;2008;p10p100;159743.62447;211659.537603;;;6.1805753708;7.8640632629;;;;0.9872406156;0.9901748081;;;25846.0761719;26914.78125;
;TH;2008;p11p100;161242.847725;213726.374848;;;6.0202493668;7.4960918427;;;;0.9854337607;0.9887344049;;;26783.4160156;28511.7070312;
;TH;2008;p12p100;162765.358328;215821.949077;;;5.8666367531;7.1656150818;;;;0.9835617284;0.9872105841;;;27744.2363281;30119.109375;
;TH;2008;p13p100;164311.696872;217947.306308;;;5.7197537422;6.8737587929;;;;0.9816229512;0.9856035948;;;28727.0585938;31707.1503906;
;TH;2008;p14p100;165882.452773;220103.861859;;;5.5797696114;6.6195297241;;;;0.979616001;0.9839151194;;;29729.265625;33250.6796875;
;TH;2008;p15p100;167478.281549;222293.36099;;;5.4469938278;6.4005670547;;;;0.9775396739;0.982148004;;;30746.9199219;34730.2617188;
;TH;2008;p16p100;169099.92552;224517.823545;;;5.3218612671;6.2135858536;;;;0.9753930866;0.9803059306;;;31774.5839844;36133.375;
;TH;2008;p17p100;170748.238458;226779.469516;;;5.2049298286;6.0546030998;;;;0.9731757871;0.9783930248;;;32805.0976562;37455.7109375;
;TH;2008;p18p100;172424.214847;229080.621876;;;5.0968852043;5.9189805984;;;;0.9708878811;0.9764133894;;;33829.3320312;38702.7148438;
;TH;2008;p19p100;174129.024488;231423.582413;;;4.9985485077;5.8013601303;;;;0.9685301765;0.9743705552;;;34835.9179688;39891.2617188;
;TH;2008;p20p100;175864.053301;233810.475536;;;4.9109010696;5.6955246925;;;;0.966104347;0.9722668368;;;35810.953125;41051.6132812;
;TH;2008;p21p100;177630.925668;236243.083623;;;4.8340530396;5.5955114365;;;;0.9636129791;0.9701027025;;;36745.7539062;42220.1054688;
;TH;2008;p22p100;179431.272867;238722.972433;;;4.7643976212;5.4997019768;;;;0.9610582504;0.9678773718;;;37660.8515625;43406.5273438;
;TH;2008;p23p100;181266.48903;241251.741202;;;4.6983242035;5.4077329636;;;;0.9584406363;0.9655898725;;;38581.09375;44612.3632812;
;TH;2008;p24p100;183137.745031;243831.056341;;;4.6332836151;5.3193273544;;;;0.9557590641;0.9632391656;;;39526.5546875;45838.6992188;
;TH;2008;p25p100;185046.044491;246462.661874;;;4.5677518845;5.234295845;;;;0.9530112782;0.9608241679;;;40511.40625;47086.1171875;
;TH;2008;p26p100;186992.300714;249148.392015;;;4.5012135506;5.1525249481;;;;0.9501942884;0.9583437806;;;41542.640625;48354.6210938;
;TH;2008;p27p100;188977.439097;251890.186272;;;4.4341602325;5.0739822388;;;;0.9473049142;0.9557969231;;;42618.5390625;49643.4921875;
;TH;2008;p28p100;191002.530444;254690.107544;;;4.3680706024;4.9987096786;;;;0.9443404398;0.9531825732;;;43726.9765625;50951.171875;
;TH;2008;p29p100;193068.961616;257550.363785;;;4.3054032326;4.9268274307;;;;0.9412993965;0.9504998152;;;44843.4101562;52275.09375;
;TH;2008;p30p100;195178.651202;260473.333892;;;4.249607563;4.8585324287;;;;0.9381824901;0.9477478965;;;45928.6289062;53611.5234375;
;TH;2008;p31p100;197334.251896;263461.593365;;;4.2035307884;4.7939763069;;;;0.934993378;0.9449262747;;;46944.8828125;54956.8007812;
;TH;2008;p32p100;199538.691178;266517.888271;;;4.1643910408;4.7328619957;;;;0.9317362719;0.9420344749;;;47915.453125;56312.203125;
;TH;2008;p33p100;201794.558852;269645.091955;;;4.1286253929;4.674785614;;;;0.9284130262;0.9390718947;;;48876.9335938;57680.7421875;
;TH;2008;p34p100;204104.086103;272846.202892;;;4.0934991837;4.6193532944;;;;0.9250231581;0.9360377633;;;49860.5390625;59065.8867188;
;TH;2008;p35p100;206469.212436;276124.346478;;;4.0571246147;4.566177845;;;;0.9215642704;0.9329311155;;;50890.5273438;60471.6601562;
;TH;2008;p36p100;208891.686117;279482.775943;;;4.0185160637;4.514872551;;;;0.9180325926;0.9297507612;;;51982.296875;61902.6953125;
;TH;2008;p37p100;211373.206838;282924.872157;;;3.9776549339;4.4650506973;;;;0.914423664;0.9264952523;;;53140.15625;63364.3164062;
;TH;2008;p38p100;213915.621326;286454.142035;;;3.9355509281;4.4163198471;;;;0.9107331829;0.9231628437;;;54354.6835938;64862.6328125;
;TH;2008;p39p100;216521.185053;290074.215187;;;3.8942904472;4.3682823181;;;;0.9069580525;0.9197514503;;;55599.6484375;66404.640625;
;TH;2008;p40p100;219192.906137;293788.838395;;;3.8571045399;4.3205294609;;;;0.9030976575;0.9162585977;;;56828.3554688;67998.34375;
;TH;2008;p41p100;221934.892673;297601.885563;;;3.8269352913;4.2729063034;;;;0.8991550129;0.9126814224;;;57992.8515625;69648.5859375;
;TH;2008;p42p100;224751.747294;301517.551807;;;3.8016724586;4.2262349129;;;;0.8951339747;0.9090172237;;;59119.1757812;71344.25;
;TH;2008;p43p100;227647.695514;305540.566557;;;3.7783653736;4.1814017296;;;;0.8910356588;0.9052640119;;;60250.3125;73071.328125;
;TH;2008;p44p100;230626.549087;309676.230794;;;3.7547211647;4.1390733719;;;;0.8868584295;0.9014204777;;;61423.0820312;74817.765625;
;TH;2008;p45p100;233691.800178;313930.426621;;;3.7291703224;4.0996880531;;;;0.8825983968;0.8974858707;;;62665.8945312;76574.2265625;
;TH;2008;p46p100;236846.772285;318309.612515;;;3.7009625435;4.0634388924;;;;0.8782500862;0.8934598357;;;63995.9921875;78335.03125;
;TH;2008;p47p100;240094.845628;322820.79896;;;3.6702718735;4.0302615166;;;;0.8738073169;0.8893421951;;;65416.09375;80099.21875;
;TH;2008;p48p100;243439.779608;327471.497647;;;3.6382980347;3.9998006821;;;;0.8692643333;0.8851326686;;;66910.34375;81871.953125;
;TH;2008;p49p100;246886.160993;332269.635406;;;3.6073696613;3.9713759422;;;;0.864617245;0.8808305145;;;68439.3828125;83666.125;
