Sources;.;.;.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015)
Variable Code;country;year;perc;afiinc992i;ahwagr992i;ahwagr999i;ahwbus992i;ahwbus999i;ahwdeb992i;ahwdeb999i;ahwdwe992i;ahwdwe999i;ahweal992i;ahweal999i;ahwequ992i;ahwequ999i;ahwfin992i;ahwfin999i;ahwfix992i;ahwfix999i;ahwhou992i;ahwhou999i;ahwlan992i;ahwlan999i;ahwnfa992i;ahwnfa999i;ahwodk992i;ahwodk999i;ahwpen992i;ahwpen999i;aptinc992j;bptinc992j;mfiinc992i;mhwagr999i;mhwbus999i;mhwdeb999i;mhwdwe999i;mhweal999i;mhwequ999i;mhwfin999i;mhwfix999i;mhwhou999i;mhwlan999i;mhwnfa999i;mhwodk999i;mhwpen999i;sfiinc992i;sfiinc992t;sptinc992j;tptinc992j
;CZ;1993;p82p83;;;;;;;;;;;;;;;;;;;;;;;;;;;;366672.592561;;;;;;;;;;;;;;;;;;0.0127234269;363725.00776
;CZ;1993;p83p84;;;;;;;;;;;;;;;;;;;;;;;;;;;;372797.534516;;;;;;;;;;;;;;;;;;0.0129359605;369674.796914
;CZ;1993;p84p85;;;;;;;;;;;;;;;;;;;;;;;;;;;;379321.378255;;;;;;;;;;;;;;;;;;0.0131623359;375986.559197
;CZ;1993;p85p86;;;;;;;;;;;;;;;;;;;;;;;;;;;;386325.979298;;;;;;;;;;;;;;;;;;0.0134053934;382736.114194
;CZ;1993;p86p87;;;;;;;;;;;;;;;;;;;;;;;;;;;;393905.572371;;;;;;;;;;;;;;;;;;0.013668403;390011.475727
;CZ;1993;p87p88;;;;;;;;;;;;;;;;;;;;;;;;;;;;402166.015803;;;;;;;;;;;;;;;;;;0.0139550379;397913.001414
;CZ;1993;p88p89;;;;;;;;;;;;;;;;;;;;;;;;;;;;411220.812595;;;;;;;;;;;;;;;;;;0.0142692366;406551.446012
;CZ;1993;p89p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;421180.063132;;;;;;;;;;;;;;;;;;0.0146148195;416041.346515
;CZ;1993;p90p91;;;;;;;;;;;;;;;;;;;;;;;;;;;;432410.15764;;;;;;;;;;;;;;;;;;0.0150045003;426484.237203
;CZ;1993;p91p92;;;;;;;;;;;;;;;;;;;;;;;;;;;;445720.648766;;;;;;;;;;;;;;;;;;0.0154663703;438674.748112
;CZ;1993;p92p93;;;;;;;;;;;;;;;;;;;;;;;;;;;;461776.438378;;;;;;;;;;;;;;;;;;0.0160235013;453218.197624
;CZ;1993;p93p94;;;;;;;;;;;;;;;;;;;;;;;;;;;;481642.851111;;;;;;;;;;;;;;;;;;0.0167128598;470959.239269
;CZ;1993;p94p95;;;;;;;;;;;;;;;;;;;;;;;;;;;;507062.58588;;;;;;;;;;;;;;;;;;0.0175949168;493231.494981
;CZ;1993;p95p96;;;;;;;;;;;;;;;;;;;;;;;;;;;;541129.147908;;;;;;;;;;;;;;;;;;0.0187770161;522289.958857
;CZ;1993;p96p97;;;;;;;;;;;;;;;;;;;;;;;;;;;;590011.027207;;;;;;;;;;;;;;;;;;0.0204732024;562321.712231
;CZ;1993;p97p98;;;;;;;;;;;;;;;;;;;;;;;;;;;;668454.785344;;;;;;;;;;;;;;;;;;0.0231951768;622238.104201
;CZ;1993;p98p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;825888.250672;;;;;;;;;;;;;;;;;;0.02865807;725694.625195
;CZ;1993;p1p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;290642.796237;3.2250117429;;;;;;;;;;;;;;;;;0.9984364063;90121.4691315
;CZ;1993;p2p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;292373.756609;2.2419738255;;;;;;;;;;;;;;;;;0.9942374421;130409.085637
;CZ;1993;p3p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;294030.536675;2.2120349916;;;;;;;;;;;;;;;;;0.989668669;132923.094705
;CZ;1993;p4p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;295695.645399;2.1832691128;;;;;;;;;;;;;;;;;0.9850126605;135437.103773
;CZ;1993;p5p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;297369.345789;2.1556139684;;;;;;;;;;;;;;;;;0.9802694167;137951.112841
;CZ;1993;p6p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;299051.912049;2.1290118713;;;;;;;;;;;;;;;;;0.9754389376;140465.121908
;CZ;1993;p7p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;300743.630174;2.1034092746;;;;;;;;;;;;;;;;;0.9705212231;142979.130976
;CZ;1993;p8p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;302444.798594;2.0787564177;;;;;;;;;;;;;;;;;0.9655162733;145493.140044
;CZ;1993;p9p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;304155.728858;2.0550070093;;;;;;;;;;;;;;;;;0.9604240881;148007.149112
;CZ;1993;p10p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;305876.74636;2.0321179432;;;;;;;;;;;;;;;;;0.9552446676;150521.158179
;CZ;1993;p11p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;307609.971062;2.0142307447;;;;;;;;;;;;;;;;;0.9499835086;152718.337694
;CZ;1993;p12p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;309357.619284;1.9969440432;;;;;;;;;;;;;;;;;0.9446461083;154915.517209
;CZ;1993;p13p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;311120.188392;1.9802358108;;;;;;;;;;;;;;;;;0.9392324664;157112.696724
;CZ;1993;p14p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;312898.198879;1.9640853804;;;;;;;;;;;;;;;;;0.9337425831;159309.876239
;CZ;1993;p15p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;314692.206914;1.9486937732;;;;;;;;;;;;;;;;;0.9281764913;161488.793797
;CZ;1993;p16p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;316504.023334;1.9356805709;;;;;;;;;;;;;;;;;0.9225378039;163510.461429
;CZ;1993;p17p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;318335.14054;1.9231018313;;;;;;;;;;;;;;;;;0.9168289652;165532.129062
;CZ;1993;p18p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;320186.264658;1.9109460423;;;;;;;;;;;;;;;;;0.9110499753;167553.796694
;CZ;1993;p19p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;322058.136684;1.8992024463;;;;;;;;;;;;;;;;;0.9052008341;169575.464326
;CZ;1993;p20p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;323951.534666;1.8878610089;;;;;;;;;;;;;;;;;0.8992815417;171597.131958
;CZ;1993;p21p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;325875.082226;1.8880983722;;;;;;;;;;;;;;;;;0.8933134969;172594.334608
;CZ;1993;p22p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;327828.043236;1.8772387075;;;;;;;;;;;;;;;;;0.8872915689;174633.115078
;CZ;1993;p23p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;329800.657064;1.8599431483;;;;;;;;;;;;;;;;;0.8811866164;177317.601004
;CZ;1993;p24p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;331787.534343;1.8401683149;;;;;;;;;;;;;;;;;0.874982381;180302.818852
;CZ;1993;p25p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;333787.19939;1.8209338487;;;;;;;;;;;;;;;;;0.8686735374;183305.50537
;CZ;1993;p26p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;335801.438979;1.8042543534;;;;;;;;;;;;;;;;;0.8622633424;186116.463208
;CZ;1993;p27p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;337834.417606;1.7911370757;;;;;;;;;;;;;;;;;0.8557608279;188614.496455
;CZ;1993;p28p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;339891.513746;1.7815694934;;;;;;;;;;;;;;;;;0.8491774806;190782.068844
;CZ;1993;p29p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;341977.823697;1.774453191;;;;;;;;;;;;;;;;;0.8425233455;192722.933141
;CZ;1993;p30p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;344096.269303;1.7674780326;;;;;;;;;;;;;;;;;0.8358024786;194682.06278
;CZ;1993;p31p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;346245.63277;1.7579806777;;;;;;;;;;;;;;;;;0.8290086188;196956.44962
;CZ;1993;p32p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;348422.495768;1.746304341;;;;;;;;;;;;;;;;;0.8221304818;199519.916199
;CZ;1993;p33p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;350624.626422;1.7335306112;;;;;;;;;;;;;;;;;0.8151600162;202260.418221
;CZ;1993;p34p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;352851.254294;1.7205560979;;;;;;;;;;;;;;;;;0.808092827;205079.77317
;CZ;1993;p35p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;355102.94345;1.7080703918;;;;;;;;;;;;;;;;;0.8009276365;207897.136537
;CZ;1993;p36p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;357381.395224;1.6965406503;;;;;;;;;;;;;;;;;0.793665614;210653.01038
;CZ;1993;p37p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;359689.163939;1.6861969674;;;;;;;;;;;;;;;;;0.7863095575;213313.848202
;CZ;1993;p38p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;362029.265485;1.6770137457;;;;;;;;;;;;;;;;;0.7788629036;215877.339362
;CZ;1993;p39p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;364404.654499;1.6686839233;;;;;;;;;;;;;;;;;0.7713285403;218378.47744
;CZ;1993;p40p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;366817.540734;1.6605852853;;;;;;;;;;;;;;;;;0.7637073951;220896.538092
;CZ;1993;p41p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;369268.664917;1.6520182061;;;;;;;;;;;;;;;;;0.7559970808;223525.784128
;CZ;1993;p42p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;371758.082729;1.643119492;;;;;;;;;;;;;;;;;0.7481937292;226251.398355
;CZ;1993;p43p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;374286.504596;1.6342233069;;;;;;;;;;;;;;;;;0.7402947588;229030.208431
;CZ;1993;p44p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;376855.415953;1.6256063794;;;;;;;;;;;;;;;;;0.7322989961;231824.518362
;CZ;1993;p45p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;379467.033735;1.6174807713;;;;;;;;;;;;;;;;;0.724206457;234603.737165
;CZ;1993;p46p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;382124.225237;1.6099860266;;;;;;;;;;;;;;;;;0.7160180684;237346.299234
;CZ;1993;p47p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;384830.378426;1.6031798505;;;;;;;;;;;;;;;;;0.7077353171;240041.925612
;CZ;1993;p48p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;387589.21005;1.5970265139;;;;;;;;;;;;;;;;;0.6993598125;242694.28634
;CZ;1993;p49p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;390404.494457;1.5913823207;;;;;;;;;;;;;;;;;0.6908927503;245324.137
;CZ;1993;p50p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;393279.691675;1.5859777641;;;;;;;;;;;;;;;;;0.6823342568;247973.017387
;CZ;1993;p51p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;396217.527109;1.580496492;;;;;;;;;;;;;;;;;0.6736827293;250691.810522
;CZ;1993;p52p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;399220.322646;1.5749143424;;;;;;;;;;;;;;;;;0.6649355144;253487.00681
;CZ;1993;p53p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;402290.677136;1.5692954133;;;;;;;;;;;;;;;;;0.6560900882;256351.145702
;CZ;1993;p54p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;405431.58578;1.5637065323;;;;;;;;;;;;;;;;;0.6471441989;259276.006979
;CZ;1993;p55p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;408646.501531;1.5582173514;;;;;;;;;;;;;;;;;0.6380958935;262252.567764
;CZ;1993;p56p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;411939.405826;1.552900491;;;;;;;;;;;;;;;;;0.6289435467;265270.96115
;CZ;1993;p57p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;415314.890125;1.5478317413;;;;;;;;;;;;;;;;;0.619685891;268320.437572
;CZ;1993;p58p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;418778.249966;1.5430903249;;;;;;;;;;;;;;;;;0.6103220474;271389.330367
;CZ;1993;p59p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;422335.593557;1.5387592275;;;;;;;;;;;;;;;;;0.6008515582;274465.027406
;CZ;1993;p60p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;425993.967267;1.5349256025;;;;;;;;;;;;;;;;;0.5912744202;277533.951205
;CZ;1993;p61p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;429761.450758;1.5316384714;;;;;;;;;;;;;;;;;0.5815910502;280589.354977
;CZ;1993;p62p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;433646.7545;1.5287843293;;;;;;;;;;;;;;;;;0.5718015755;283654.630806
;CZ;1993;p63p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;437658.761758;1.5262239305;;;;;;;;;;;;;;;;;0.5619051364;286759.205513
;CZ;1993;p64p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;441806.564256;1.5238415457;;;;;;;;;;;;;;;;;0.5518999004;289929.465108
;CZ;1993;p65p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;446099.601781;1.5215527568;;;;;;;;;;;;;;;;;0.5417831957;293187.074706
;CZ;1993;p66p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;450547.882909;1.5193146105;;;;;;;;;;;;;;;;;0.5315517117;296546.798001
;CZ;1993;p67p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;455162.321272;1.5171385938;;;;;;;;;;;;;;;;;0.5212017847;300013.672536
;CZ;1993;p68p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;459955.235582;1.5151071008;;;;;;;;;;;;;;;;;0.5107297964;303579.354451
;CZ;1993;p69p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;464941.080921;1.5133944143;;;;;;;;;;;;;;;;;0.5001327169;307217.389287
;CZ;1993;p70p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;470137.506152;1.5122938473;;;;;;;;;;;;;;;;;0.4894088345;310877.087139
;CZ;1993;p71p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;475566.644298;1.5121244095;;;;;;;;;;;;;;;;;0.4785585003;314502.326195
;CZ;1993;p72p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;481254.406369;1.5128119342;;;;;;;;;;;;;;;;;0.467582664;318119.123398
;CZ;1993;p73p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;487228.888894;1.5141710325;;;;;;;;;;;;;;;;;0.4564807265;321779.296019
;CZ;1993;p74p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;493520.479228;1.5160221594;;;;;;;;;;;;;;;;;0.4452502558;325536.454844
;CZ;1993;p75p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;500162.273203;1.5181997331;;;;;;;;;;;;;;;;;0.4338869515;329444.316379
;CZ;1993;p76p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;507190.68561;1.5205650454;;;;;;;;;;;;;;;;;0.4223846837;333554.087108
;CZ;1993;p77p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;514646.361326;1.5230256998;;;;;;;;;;;;;;;;;0.4107356443;337910.490531
;CZ;1993;p78p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;522575.557755;1.5255640086;;;;;;;;;;;;;;;;;0.398930668;342545.80917
;CZ;1993;p79p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;531032.270853;1.5282778881;;;;;;;;;;;;;;;;;0.3869598084;347471.016232
;CZ;1993;p80p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;540081.542613;1.5314397248;;;;;;;;;;;;;;;;;0.3748132902;352662.617972
;CZ;1993;p81p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;549804.286035;1.5354550216;;;;;;;;;;;;;;;;;0.362482774;358072.544164
;CZ;1993;p82p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;560300.278485;1.5404502482;;;;;;;;;;;;;;;;;0.3499604724;363725.00776
;CZ;1993;p83p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;571690.142363;1.5464677255;;;;;;;;;;;;;;;;;0.3372370455;369674.796914
;CZ;1993;p84p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;584120.930353;1.5535686478;;;;;;;;;;;;;;;;;0.3243010849;375986.559197
;CZ;1993;p85p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;597774.233827;1.5618443404;;;;;;;;;;;;;;;;;0.311138749;382736.114194
;CZ;1993;p86p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;612877.680579;1.5714349929;;;;;;;;;;;;;;;;;0.2977333556;390011.475727
;CZ;1993;p87p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;629721.688902;1.5825612299;;;;;;;;;;;;;;;;;0.2840649526;397913.001414
;CZ;1993;p88p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;648684.66166;1.5955782916;;;;;;;;;;;;;;;;;0.2701099147;406551.446012
;CZ;1993;p89p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;670272.284303;1.6110713272;;;;;;;;;;;;;;;;;0.2558406781;416041.346515
;CZ;1993;p91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;724378.322951;1.6512879441;;;;;;;;;;;;;;;;;0.2262213583;438674.748112
;CZ;1993;p92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;759210.532224;1.675154564;;;;;;;;;;;;;;;;;0.210754988;453218.197624
;CZ;1993;p93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;801701.117059;1.70227283;;;;;;;;;;;;;;;;;0.1947314866;470959.239269
;CZ;1993;p94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;855044.161384;1.7335554807;;;;;;;;;;;;;;;;;0.1780186269;493231.494981
;CZ;1993;p95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;924640.476485;1.770358516;;;;;;;;;;;;;;;;;0.1604237101;522289.958857
;CZ;1993;p96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1020518.30863;1.8148299922;;;;;;;;;;;;;;;;;0.141646694;562321.712231
;CZ;1993;p97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1164020.73577;1.8706998622;;;;;;;;;;;;;;;;;0.1211734916;622238.104201
;CZ;1993;p98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1411803.71098;1.9454515191;;;;;;;;;;;;;;;;;0.0979783148;725694.625195
;CZ;1993;p0p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;242965.361087;;;;;;;;;;;;;;;;;;0.7587741414;0.0
;CZ;1993;p0p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;270918.973643;;;;;;;;;;;;;;;;;;0.9306797551;0.0
;CZ;1993;p99.1p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2109355.80449;2.0742130492;;;;;;;;;;;;;;;;;0.0658746017;1016942.69316
;CZ;1993;p99.1p99.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1043883.32301;;;;;;;;;;;;;;;;;;0.0036222432;1016942.69316
;CZ;1993;p99.2p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2242539.86468;2.0908470892;;;;;;;;;;;;;;;;;0.0622523585;1072550.87006
;CZ;1993;p99.2p99.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1105274.06723;;;;;;;;;;;;;;;;;;0.0038352672;1072550.87006
;CZ;1993;p99.3p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2405006.40717;2.10894191;;;;;;;;;;;;;;;;;0.0584170912;1140385.3258
;CZ;1993;p99.3p99.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;1181235.06896;;;;;;;;;;;;;;;;;;0.0040988496;1140385.3258
;CZ;1993;p99.4p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2608968.29687;2.128822438;;;;;;;;;;;;;;;;;0.0543182416;1225545.28284
;CZ;1993;p99.4p99.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;1278429.69302;;;;;;;;;;;;;;;;;;0.004436112;1225545.28284
;CZ;1993;p99.5p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2875076.01764;2.1509518224;;;;;;;;;;;;;;;;;0.0498821297;1336652.91231
;CZ;1993;p99.5p99.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1408686.23265;;;;;;;;;;;;;;;;;;0.0048880982;1336652.91231
;CZ;1993;p99.6p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;3241673.46389;2.1760317698;;;;;;;;;;;;;;;;;0.0449940315;1489717.89332
;CZ;1993;p99.6p99.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;1595590.45981;;;;;;;;;;;;;;;;;;0.0055366501;1489717.89332
;CZ;1993;p99.7p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;3790367.79858;2.2052233456;;;;;;;;;;;;;;;;;0.0394573813;1718813.56427
;CZ;1993;p99.7p99.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;1895527.16847;;;;;;;;;;;;;;;;;;0.0065774214;1718813.56427
;CZ;1993;p99.8p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;4737788.11364;2.2407364746;;;;;;;;;;;;;;;;;0.03287996;2114388.80357
;CZ;1993;p99.8p99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;2497488.07072;;;;;;;;;;;;;;;;;;0.0086662073;2114388.80357
;CZ;1993;p99.91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;7404940.78476;2.2939704782;;;;;;;;;;;;;;;;;0.0231254264;3228001.77911
;CZ;1993;p99.91p99.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;3331011.6812;;;;;;;;;;;;;;;;;;0.0011558509;3228001.77911
;CZ;1993;p99.92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;7914181.92271;2.3002166265;;;;;;;;;;;;;;;;;0.0219695756;3440624.60533
;CZ;1993;p99.92p99.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;3565744.66952;;;;;;;;;;;;;;;;;;0.0012373025;3440624.60533
;CZ;1993;p99.93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;8535387.24459;2.3068640987;;;;;;;;;;;;;;;;;0.0207322731;3699995.69961
;CZ;1993;p99.93p99.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;3856188.33755;;;;;;;;;;;;;;;;;;0.0013380856;3699995.69961
;CZ;1993;p99.94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;9315253.7291;2.3139966836;;;;;;;;;;;;;;;;;0.0193941875;4025612.39405
;CZ;1993;p99.94p99.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;4227820.65518;;;;;;;;;;;;;;;;;;0.0014670408;4025612.39405
;CZ;1993;p99.95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;10332740.3439;2.3217333423;;;;;;;;;;;;;;;;;0.0179271466;4450442.32933
;CZ;1993;p99.95p99.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;4725868.15705;;;;;;;;;;;;;;;;;;0.0016398618;4450442.32933
;CZ;1993;p99.96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;11734458.3906;2.3302536938;;;;;;;;;;;;;;;;;0.0162872848;5035699.94197
;CZ;1993;p99.96p99.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;5440513.1468;;;;;;;;;;;;;;;;;;0.0018878414;5035699.94197
;CZ;1993;p99.97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;13832440.1385;2.3398541466;;;;;;;;;;;;;;;;;0.0143994434;5911667.68174
;CZ;1993;p99.97p99.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;6587347.91531;;;;;;;;;;;;;;;;;;0.0022857896;5911667.68174
;CZ;1993;p99.98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;17454986.2501;2.3510979955;;;;;;;;;;;;;;;;;0.0121136538;7424184.90583
