Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Average | Adults | constant 2015 local currency;Personal bonds & loans | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Net personal wealth | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;RU;1994;p18p100;313268.245243;;;;;;;;;;;;;;;;;;;;;;;;415783.252975;4.63082265854;;4.71185302734;;;;;;;;;;;;0.9869437845;;0.9867624156;67648.5078125;;88241.984375
;RU;1994;p19p100;316287.373035;;;;;;;;;;;;;;;;;;;;;;;;419809.753712;4.54292535782;;4.61756134033;;;;;;;;;;;;0.9843035752;;0.9841681312;69621.9609375;;90915.90625
;RU;1994;p20p100;319360.842988;;;;;;;;;;;;;;;;;;;;;;;;423904.630224;4.48089504242;;4.52745294571;;;;;;;;;;;;0.9815984015;;0.9814990908;71271.6640625;;93629.828125
;RU;1994;p21p100;322485.644883;;;;;;;;;;;;;;;;;;;;;;;;428063.707668;4.36206865311;;4.40355634689;;;;;;;;;;;;0.9788128632;;0.9787398121;73929.5234375;;97208.640625
;RU;1994;p22p100;325649.78218;;;;;;;;;;;;;;;;;;;;;;;;432276.772759;4.1984333992;;4.24451208115;;;;;;;;;;;;0.9759050925;;0.9758616643;77564.59375;;101843.695312
;RU;1994;p23p100;328844.746918;;;;;;;;;;;;;;;;;;;;;;;;436533.781297;4.02134466171;;4.07159471512;;;;;;;;;;;;0.9728453858;;0.9728375758;81774.8203125;;107214.445312
;RU;1994;p24p100;332066.607258;;;;;;;;;;;;;;;;;;;;;;;;440829.498521;3.85225772858;;3.90436434746;;;;;;;;;;;;0.9696187092;;0.9696522168;86200.515625;;112906.851562
;RU;1994;p25p100;335315.66824;;;;;;;;;;;;;;;;;;;;;;;;445164.196418;3.7036485672;;3.75686430931;;;;;;;;;;;;0.9662228416;;0.9663028166;90536.578125;;118493.554688
;RU;1994;p26p100;338595.927143;;;;;;;;;;;;;;;;;;;;;;;;449543.054635;3.58125972748;;3.63478040695;;;;;;;;;;;;0.9626660125;;0.9627970842;94546.6015625;;123678.1875
;RU;1994;p27p100;341914.278027;;;;;;;;;;;;;;;;;;;;;;;;453975.082974;3.48611521721;;3.54028391838;;;;;;;;;;;;0.9589639618;;0.9591502209;98078.8828125;;128231.265625
;RU;1994;p28p100;345279.41284;;;;;;;;;;;;;;;;;;;;;;;;458471.50697;3.41574668884;;3.46979641914;;;;;;;;;;;;0.9551363433;;0.9553810024;101084.609375;;132132.109375
;RU;1994;p29p100;348700.356562;;;;;;;;;;;;;;;;;;;;;;;;463043.536398;3.36458277702;;3.41678285599;;;;;;;;;;;;0.9512023832;;0.9515068723;103638.515625;;135520.328125
;RU;1994;p30p100;352184.560751;;;;;;;;;;;;;;;;;;;;;;;;467699.48664;3.32366991043;;3.37144804001;;;;;;;;;;;;0.9471756894;;0.9475381127;105962.554688;;138723.625
;RU;1994;p31p100;355735.817729;;;;;;;;;;;;;;;;;;;;;;;;472443.972896;3.2831017971;;3.32822465897;;;;;;;;;;;;0.9430590241;;0.9434766537;108353.578125;;141950.75
;RU;1994;p32p100;359355.582454;;;;;;;;;;;;;;;;;;;;;;;;477280.063581;3.24204564095;;3.28592276573;;;;;;;;;;;;0.9388484597;;0.9393208468;110842.234375;;145249.9375
;RU;1994;p33p100;363045.822696;;;;;;;;;;;;;;;;;;;;;;;;482210.868746;3.20198106766;;3.2451710701;;;;;;;;;;;;0.9345411653;;0.935068769;113381.625;;148593.359375
;RU;1994;p34p100;366809.28601;;;;;;;;;;;;;;;;;;;;;;;;487240.213761;3.16401028633;;3.20646834373;;;;;;;;;;;;0.930135985;;0.9307195039;115931.757812;;151955.40625
;RU;1994;p35p100;370649.438869;;;;;;;;;;;;;;;;;;;;;;;;492372.743175;3.12885975838;;3.17054867744;;;;;;;;;;;;0.9256331359;;0.926273233;118461.507812;;155295.75
;RU;1994;p36p100;374570.36652;;;;;;;;;;;;;;;;;;;;;;;;497613.857102;3.09687829018;;3.13783788681;;;;;;;;;;;;0.9210338239;;0.9217309999;120950.945312;;158584.953125
;RU;1994;p37p100;378576.623368;;;;;;;;;;;;;;;;;;;;;;;;502969.457834;3.06802964211;;3.10803771019;;;;;;;;;;;;0.9163397627;;0.9170941385;123394.054688;;161828.625
;RU;1994;p38p100;382673.021396;;;;;;;;;;;;;;;;;;;;;;;;508445.719816;3.04186940193;;3.08055305481;;;;;;;;;;;;0.9115525795;;0.9123637878;125801.921875;;165050.140625
;RU;1994;p39p100;386864.341292;;;;;;;;;;;;;;;;;;;;;;;;514048.667429;3.01751065254;;3.05450391769;;;;;;;;;;;;0.9066730889;;0.9075401072;128206.453125;;168292.03125
;RU;1994;p40p100;391154.947452;;;;;;;;;;;;;;;;;;;;;;;;519783.782276;2.99357748032;;3.02870249748;;;;;;;;;;;;0.901700411;;0.9026216158;130664.71875;;171619.296875
;RU;1994;p41p100;395548.347566;;;;;;;;;;;;;;;;;;;;;;;;525655.810736;2.96849679947;;3.00232052803;;;;;;;;;;;;0.896631053;;0.8976049431;133248.703125;;175083.171875
;RU;1994;p42p100;400047.360066;;;;;;;;;;;;;;;;;;;;;;;;531668.904319;2.94173622131;;2.97454380989;;;;;;;;;;;;0.8914594475;;0.8924851701;135990.21875;;178739.640625
;RU;1994;p43p100;404654.63948;;;;;;;;;;;;;;;;;;;;;;;;537826.992132;2.91318869591;;2.94514870644;;;;;;;;;;;;0.8861792347;;0.8872565305;138904.375;;182614.546875
;RU;1994;p44p100;409372.811994;;;;;;;;;;;;;;;;;;;;;;;;544133.821153;2.88290214539;;2.91424751282;;;;;;;;;;;;0.880783586;;0.8819125078;142000.25;;186715.03125
;RU;1994;p45p100;414204.596222;;;;;;;;;;;;;;;;;;;;;;;;550593.379368;2.85109162331;;2.88203144073;;;;;;;;;;;;0.8752654645;;0.8764465357;145279.296875;;191043.5
;RU;1994;p46p100;419152.969996;;;;;;;;;;;;;;;;;;;;;;;;557209.912452;2.81814861298;;2.84883546829;;;;;;;;;;;;0.8696179532;;0.8708519885;148733.453125;;195592.171875
;RU;1994;p47p100;424221.395615;;;;;;;;;;;;;;;;;;;;;;;;563988.374012;2.78464913368;;2.81515169144;;;;;;;;;;;;0.8638346641;;0.8651228352;152342.859375;;200340.3125
;RU;1994;p48p100;429414.119058;;;;;;;;;;;;;;;;;;;;;;;;570934.663804;2.75136566162;;2.78182077408;;;;;;;;;;;;0.8579102428;;0.8592538953;156073.078125;;205237.765625
;RU;1994;p49p100;434736.562513;;;;;;;;;;;;;;;;;;;;;;;;578056.305797;2.7192800045;;2.74958872795;;;;;;;;;;;;0.851840987;;0.8532417024;159871.9375;;210233.734375
;RU;1994;p50p100;440195.834476;;;;;;;;;;;;;;;;;;;;;;;;585363.108874;2.68960404396;;2.72013735771;;;;;;;;;;;;0.8456256006;;0.847085226;163665.671875;;215196.15625
;RU;1994;p51p100;445801.290429;;;;;;;;;;;;;;;;;;;;;;;;592867.492251;2.66350722313;;2.69394636154;;;;;;;;;;;;0.8392659252;;0.8407860015;167373.78125;;220073.96875
;RU;1994;p52p100;451564.1524;;;;;;;;;;;;;;;;;;;;;;;;600583.994957;2.64108538628;;2.67107272148;;;;;;;;;;;;0.8327658069;;0.8343470719;170976.734375;;224847.484375
;RU;1994;p53p100;457496.651991;;;;;;;;;;;;;;;;;;;;;;;;608528.546601;2.62203621864;;2.65141153336;;;;;;;;;;;;0.8261291902;;0.8277716883;174481.4375;;229511.15625
;RU;1994;p54p100;463611.797733;;;;;;;;;;;;;;;;;;;;;;;;616718.16258;2.60590910912;;2.63447141647;;;;;;;;;;;;0.8193595129;;0.8210627033;177907.890625;;234095.59375
;RU;1994;p55p100;469923.133315;;;;;;;;;;;;;;;;;;;;;;;;625170.492678;2.59206986427;;2.61970710754;;;;;;;;;;;;0.812459139;;0.8142218258;181292.625;;238641.359375
;RU;1994;p56p100;476444.375686;;;;;;;;;;;;;;;;;;;;;;;;633903.274187;2.57965612411;;2.60611557961;;;;;;;;;;;;0.8054286439;;0.8072488329;184692.984375;;243236.828125
;RU;1994;p57p100;483188.893342;;;;;;;;;;;;;;;;;;;;;;;;642933.862217;2.567527771;;2.59271454811;;;;;;;;;;;;0.7982659191;;0.8001409727;188192.28125;;247977.109375
;RU;1994;p58p100;490168.972747;;;;;;;;;;;;;;;;;;;;;;;;652278.270518;2.55421066284;;2.57800030708;;;;;;;;;;;;0.790965056;;0.7928918535;191906.234375;;253017.140625
;RU;1994;p59p100;497394.804803;;;;;;;;;;;;;;;;;;;;;;;;661950.197858;2.53784918785;;2.56032323837;;;;;;;;;;;;0.7835149564;;0.7854904828;195990.6875;;258541.640625
;RU;1994;p60p100;504873.102427;;;;;;;;;;;;;;;;;;;;;;;;671959.323963;2.51617145538;;2.53787517548;;;;;;;;;;;;0.7758976111;;0.7779196292;200651.3125;;264772.40625
;RU;1994;p61p100;512605.815745;;;;;;;;;;;;;;;;;;;;;;;;682311.135565;2.48760843277;;2.5099170208;;;;;;;;;;;;0.7680868426;;0.7701562081;206063.703125;;271846.09375
;RU;1994;p62p100;520594.576682;;;;;;;;;;;;;;;;;;;;;;;;693011.035986;2.45465612411;;2.47782611847;;;;;;;;;;;;0.7600557093;;0.7621764078;212084.53125;;279685.09375
;RU;1994;p63p100;528846.758432;;;;;;;;;;;;;;;;;;;;;;;;704069.71816;2.42047476768;;2.44433164597;;;;;;;;;;;;0.7517851802;;0.7539614557;218488.859375;;288041.8125
;RU;1994;p64p100;537376.645287;;;;;;;;;;;;;;;;;;;;;;;;715506.628417;2.38765120506;;2.41192436218;;;;;;;;;;;;0.7432646501;;0.7455004613;225064.96875;;296653.84375
;RU;1994;p65p100;546205.85538;;;;;;;;;;;;;;;;;;;;;;;;727350.809502;2.35811543465;;2.38271975517;;;;;;;;;;;;0.7344911806;;0.7367900041;231628.125;;305260.75
;RU;1994;p66p100;555363.366809;;;;;;;;;;;;;;;;;;;;;;;;739640.876666;2.33307623863;;2.35793447495;;;;;;;;;;;;0.7254681254;;0.7278327208;238039.09375;;313681.6875
;RU;1994;p67p100;564884.89662;;;;;;;;;;;;;;;;;;;;;;;;752423.792014;2.31293201447;;2.33752942085;;;;;;;;;;;;0.7162029286;;0.71863475;244228.921875;;321888.46875
;RU;1994;p68p100;574811.265674;;;;;;;;;;;;;;;;;;;;;;;;765752.66042;2.29711341858;;2.32113695145;;;;;;;;;;;;0.7067038204;;0.7092024823;250231.984375;;329904.125
;RU;1994;p69p100;585185.210716;;;;;;;;;;;;;;;;;;;;;;;;779682.51973;2.283826828;;2.30670523643;;;;;;;;;;;;0.6969750394;;0.6995378949;256230.125;;338007.0
;RU;1994;p70p100;596045.851895;;;;;;;;;;;;;;;;;;;;;;;;794263.391078;2.26968455315;;2.29135799408;;;;;;;;;;;;0.6870100878;;0.6896322374;262611.75;;346634.34375
;RU;1994;p71p100;607421.150461;;;;;;;;;;;;;;;;;;;;;;;;809535.729601;2.25076508522;;2.27224445343;;;;;;;;;;;;0.6767840227;;0.6794629397;269873.1875;;356271.40625
;RU;1994;p72p100;619333.209917;;;;;;;;;;;;;;;;;;;;;;;;825535.132542;2.22756075859;;2.24931526184;;;;;;;;;;;;0.6662613021;;0.6689988113;278032.03125;;367016.1875
;RU;1994;p73p100;631810.989932;;;;;;;;;;;;;;;;;;;;;;;;842303.201462;2.20182919502;;2.2240049839;;;;;;;;;;;;0.6554100999;;0.6582092328;286948.21875;;378732.59375
;RU;1994;p74p100;644893.497622;;;;;;;;;;;;;;;;;;;;;;;;859894.094717;2.1752269268;;2.19767093658;;;;;;;;;;;;0.6442041756;;0.6470682175;296471.8125;;391275.1875
;RU;1994;p75p100;658632.067931;;;;;;;;;;;;;;;;;;;;;;;;878378.114666;2.14923262596;;2.17204189301;;;;;;;;;;;;0.6326231355;;0.63555519;306449.875;;404402.0
;RU;1994;p76p100;673092.839938;;;;;;;;;;;;;;;;;;;;;;;;897845.529129;2.12507867813;;2.14807295799;;;;;;;;;;;;0.620652347;;0.6236553043;316737.84375;;417977.1875
;RU;1994;p77p100;688359.24526;;;;;;;;;;;;;;;;;;;;;;;;918409.514532;2.10367369652;;2.12684774399;;;;;;;;;;;;0.6082822942;;0.6113585139;327217.6875;;431817.25
;RU;1994;p78p100;704534.135571;;;;;;;;;;;;;;;;;;;;;;;;940208.565957;2.08549308777;;2.10865569115;;;;;;;;;;;;0.5955070543;;0.5986577909;337826.15625;;445880.5625
;RU;1994;p79p100;721740.838748;;;;;;;;;;;;;;;;;;;;;;;;963408.238437;2.07040929794;;2.0934252739;;;;;;;;;;;;0.5823214184;;0.5855465209;348598.15625;;460206.65625
;RU;1994;p80p100;740121.832126;;;;;;;;;;;;;;;;;;;;;;;;988199.567825;2.05742025375;;2.08004236221;;;;;;;;;;;;0.5687159394;;0.5720136725;359732.9375;;475086.28125
;RU;1994;p81p100;759834.128322;;;;;;;;;;;;;;;;;;;;;;;;1014795.51152;2.04487729073;;2.06741523743;;;;;;;;;;;;0.5546698844;;0.5580381534;371579.34375;;490852.3125
;RU;1994;p82p100;781055.446864;;;;;;;;;;;;;;;;;;;;;;;;1043439.9563;2.03259086609;;2.05518436432;;;;;;;;;;;;0.5401527109;;0.5435903302;384265.9375;;507711.09375
;RU;1994;p83p100;804000.978815;;;;;;;;;;;;;;;;;;;;;;;;1074426.56013;2.02084898949;;2.04333019257;;;;;;;;;;;;0.5251310383;;0.5286368231;397853.09375;;525821.3125
;RU;1994;p84p100;828935.241002;;;;;;;;;;;;;;;;;;;;;;;;1108115.59721;2.00990247726;;2.03245234489;;;;;;;;;;;;0.5095687373;;0.5131411047;412425.59375;;545211.125
;RU;1994;p85p100;856186.38478;;;;;;;;;;;;;;;;;;;;;;;;1144953.5581;1.99992465973;;2.02238559723;;;;;;;;;;;;0.4934257;;0.497062368;428109.3125;;566140.0625
;RU;1994;p86p100;886165.083926;;;;;;;;;;;;;;;;;;;;;;;;1185499.77792;1.99093937874;;2.0133805275;;;;;;;;;;;;0.4766557753;;0.4803538402;445098.96875;;588810.625
;RU;1994;p87p100;919389.281706;;;;;;;;;;;;;;;;;;;;;;;;1230459.35841;1.98269617558;;2.00511956215;;;;;;;;;;;;0.4592032766;;0.4629588391;463706.59375;;613658.8125
;RU;1994;p88p100;956515.927275;;;;;;;;;;;;;;;;;;;;;;;;1280727.52641;1.9744528532;;1.99683988094;;;;;;;;;;;;0.4409970066;;0.4448050858;484446.0625;;641377.1875
;RU;1994;p89p100;998379.581778;;;;;;;;;;;;;;;;;;;;;;;;1337445.80709;1.96459794044;;1.98723757267;;;;;;;;;;;;0.4219398705;;0.4257950743;508185.1875;;673017.5625
;RU;1994;p91p100;1100887.92011;;;;;;;;;;;;;;;;;;;;;;;;1476534.81907;1.93457436562;;1.95794260502;;;;;;;;;;;;0.3806692577;;0.3846076839;569059.5;;754125.6875
;RU;1994;p92p100;1165046.80274;;;;;;;;;;;;;;;;;;;;;;;;1563751.97088;1.91863572598;;1.9428126812;;;;;;;;;;;;0.358092767;;0.3620675568;607226.6875;;804890.75
;RU;1994;p93p100;1241584.81995;;;;;;;;;;;;;;;;;;;;;;;;1667956.30757;1.90205991268;;1.9268245697;;;;;;;;;;;;0.3339155343;;0.3379204419;652758.0;;865650.3125
;RU;1994;p94p100;1335246.97851;;;;;;;;;;;;;;;;;;;;;;;;1795710.74588;1.88467431068;;1.91043031216;;;;;;;;;;;;0.307804556;;0.311831071;708476.25;;939950.9375
;RU;1994;p95p100;1453846.84793;;;;;;;;;;;;;;;;;;;;;;;;1957852.5521;1.86622822285;;1.89324700832;;;;;;;;;;;;0.2792870849;;0.2833229403;779029.5;;1034124.1875
;RU;1994;p96p100;1611443.96928;;;;;;;;;;;;;;;;;;;;;;;;2173943.58771;1.84633111954;;1.87515735626;;;;;;;;;;;;0.2476494628;;0.2516749645;872781.6875;;1159339.25
;RU;1994;p97p100;1836822.08825;;;;;;;;;;;;;;;;;;;;;;;;2484235.75867;1.82431507111;;1.85557031631;;;;;;;;;;;;0.211714468;;0.2156978508;1006855.75;;1338799.0
;RU;1994;p98p100;2202560.59565;;;;;;;;;;;;;;;;;;;;;;;;2990857.23759;1.79884839058;;1.83353316784;;;;;;;;;;;;0.169246638;;0.173124062;1224428.125;;1631198.875
;RU;1994;p0p90;172972.097916;;;;;;;;;;;;;;;;;;;;;;;;228122.11945;;;;;;;;;;;;;;;0.5981095706;;0.5942123333;0.0;;-698.321716309
;RU;1994;p0p99;232752.597262;;;;;;;;;;;;;;;;;;;;;;;;307717.166008;;;;;;;;;;;;;;;0.8853029677;;0.881695599;0.0;;-698.321716309
;RU;1994;p99.1p100;3124734.61664;;;;;;;;;;;;;;;;;;;;;;;;4284428.07575;1.76237356663;;1.80647420883;;;;;;;;;;;;0.108048275;;0.1116007518;1773026.25;;2371707.25
;RU;1994;p99.1p99.2;1820200.52448;;;;;;;;;;;;;;;;;;;;;;;;2435684.61615;;;;;;;;;;;;;;;0.0069932882;;0.0070494106;1773026.25;;2371707.25
;RU;1994;p99.2p100;3287801.37082;;;;;;;;;;;;;;;;;;;;;;;;4515521.00681;1.75813448429;;1.80373418331;;;;;;;;;;;;0.1010549866;;0.1045513412;1870051.125;;2503429.25
;RU;1994;p99.2p99.3;1926115.47314;;;;;;;;;;;;;;;;;;;;;;;;2579653.52849;;;;;;;;;;;;;;;0.0074002179;;0.0074660885;1870051.125;;2503429.25
;RU;1994;p99.3p100;3482327.93171;;;;;;;;;;;;;;;;;;;;;;;;4792073.49281;1.75361645222;;1.80089449883;;;;;;;;;;;;0.0936547688;;0.0970852525;1985797.875;;2660940.75
;RU;1994;p99.3p99.4;2054062.42794;;;;;;;;;;;;;;;;;;;;;;;;2753928.65396;;;;;;;;;;;;;;;0.0078917956;;0.0079704793;1985797.875;;2660940.75
;RU;1994;p99.4p100;3720372.19561;;;;;;;;;;;;;;;;;;;;;;;;5131764.301;1.74875867367;;1.79820895195;;;;;;;;;;;;0.0857629735;;0.0891147732;2127436.0;;2853819.75
;RU;1994;p99.4p99.5;2213278.51774;;;;;;;;;;;;;;;;;;;;;;;;2971212.37002;;;;;;;;;;;;;;;0.0085035106;;0.0085993465;2127436.0;;2853819.75
;RU;1994;p99.5p100;4021790.91302;;;;;;;;;;;;;;;;;;;;;;;;5563874.66232;1.74347305298;;1.79537928104;;;;;;;;;;;;0.0772594625;;0.0805154263;2306769.75;;3098996.75
;RU;1994;p99.5p99.6;2419687.31499;;;;;;;;;;;;;;;;;;;;;;;;3253733.55562;;;;;;;;;;;;;;;0.009296542;;0.0094170254;2306769.75;;3098996.75
;RU;1994;p99.6p100;4422316.81844;;;;;;;;;;;;;;;;;;;;;;;;6141409.9478;1.73762321472;;1.79259383678;;;;;;;;;;;;0.0679629206;;0.071098401;2545037.75;;3425990.75
;RU;1994;p99.6p99.7;2703928.31296;;;;;;;;;;;;;;;;;;;;;;;;3644432.42163;;;;;;;;;;;;;;;0.0103886081;;0.0105477944;2545037.75;;3425990.75
;RU;1994;p99.7p100;4995112.988;;;;;;;;;;;;;;;;;;;;;;;;6973735.83495;1.73097300529;;1.79040968418;;;;;;;;;;;;0.0575743125;;0.060550607;2885725.5;;3895050.25
;RU;1994;p99.7p99.8;3135967.49354;;;;;;;;;;;;;;;;;;;;;;;;4241993.29098;;;;;;;;;;;;;;;0.0120485211;;0.0122772679;2885725.5;;3895050.25
;RU;1994;p99.8p100;5924685.73866;;;;;;;;;;;;;;;;;;;;;;;;8339607.05751;1.72302591801;;1.78824412823;;;;;;;;;;;;0.0455257914;;0.0482733389;3438535.5;;4663573.0
;RU;1994;p99.8p99.9;3935093.97829;;;;;;;;;;;;;;;;;;;;;;;;5359567.28004;;;;;;;;;;;;;;;0.0151187992;;0.0155117745;3438535.5;;4663573.0
;RU;1994;p99.91p100;8268626.19122;;;;;;;;;;;;;;;;;;;;;;;;11857898.1964;1.71078085899;;1.7889316082;;;;;;;;;;;;0.0285915736;;0.0308874447;4833247.0;;6628480.5
;RU;1994;p99.91p99.92;4953255.0615;;;;;;;;;;;;;;;;;;;;;;;;6799977.68883;;;;;;;;;;;;;;;0.0019030618;;0.0019680641;4833247.0;;6628480.5
;RU;1994;p99.92p100;8683047.57526;;;;;;;;;;;;;;;;;;;;;;;;12490138.2752;1.7092372179;;1.78885388374;;;;;;;;;;;;0.0266885118;;0.0289193807;5080071.5;;6982201.5
;RU;1994;p99.92p99.93;5222689.60113;;;;;;;;;;;;;;;;;;;;;;;;7186014.98874;;;;;;;;;;;;;;;0.0020065797;;0.0020797919;5080071.5;;6982201.5
;RU;1994;p99.93p100;9177384.47107;;;;;;;;;;;;;;;;;;;;;;;;13247870.19;1.7075779438;;1.78918683529;;;;;;;;;;;;0.0246819322;;0.0268395888;5374504.0;;7404408.5
;RU;1994;p99.93p99.94;5548122.86337;;;;;;;;;;;;;;;;;;;;;;;;7653557.69552;;;;;;;;;;;;;;;0.0021316125;;0.0022151091;5374504.0;;7404408.5
;RU;1994;p99.94p100;9782261.38387;;;;;;;;;;;;;;;;;;;;;;;;14180255.6628;1.70579659939;;1.79011440277;;;;;;;;;;;;0.0225503197;;0.0246244799;5734717.5;;7921424.5
;RU;1994;p99.94p99.95;5952962.49125;;;;;;;;;;;;;;;;;;;;;;;;8238049.83303;;;;;;;;;;;;;;;0.0022871536;;0.002384274;5734717.5;;7921424.5
;RU;1994;p99.95p100;10548121.2083;;;;;;;;;;;;;;;;;;;;;;;;15368696.8756;1.70388948917;;1.79067873955;;;;;;;;;;;;0.0202631661;;0.0222402059;6190613.5;;8582610.0
;RU;1994;p99.95p99.96;6477533.43119;;;;;;;;;;;;;;;;;;;;;;;;9001540.76698;;;;;;;;;;;;;;;0.002488696;;0.0026052452;6190613.5;;8582610.0
;RU;1994;p99.96p100;11565768.1167;;;;;;;;;;;;;;;;;;;;;;;;16960485.8614;1.70185577869;;1.79137861729;;;;;;;;;;;;0.0177744701;;0.0196349606;6795974.5;;9467840.0
;RU;1994;p99.96p99.97;7199430.69261;;;;;;;;;;;;;;;;;;;;;;;;10062127.9029;;;;;;;;;;;;;;;0.002766052;;0.0029122026;6795974.5;;9467840.0
;RU;1994;p99.97p100;13021213.9011;;;;;;;;;;;;;;;;;;;;;;;;19259938.399;1.69968736172;;1.79264092445;;;;;;;;;;;;0.015008418;;0.0167227579;7660946.5;;10743891.0
;RU;1994;p99.97p99.98;8296023.5603;;;;;;;;;;;;;;;;;;;;;;;;11692854.6756;;;;;;;;;;;;;;;0.0031873677;;0.0033841711;7660946.5;;10743891.0
;RU;1994;p99.98p100;15383809.068;;;;;;;;;;;;;;;;;;;;;;;;23043480.0831;1.69726061821;;1.79361307621;;;;;;;;;;;;0.0118210503;;0.0133385868;9063905.0;;12847520.0
;RU;1994;p99.98p99.99;10325663.6464;;;;;;;;;;;;;;;;;;;;;;;;14767005.7133;;;;;;;;;;;;;;;0.0039671641;;0.0042738984;9063905.0;;12847520.0
;RU;1994;p99.991p100;21342473.1594;;;;;;;;;;;;;;;;;;;;;;;;32817692.6958;1.69209504128;;1.79542636871;;;;;;;;;;;;0.0073798824;;0.0085483502;12613046.0;;18278496.0
;RU;1994;p99.991p99.992;12919072.445;;;;;;;;;;;;;;;;;;;;;;;;18766391.4628;;;;;;;;;;;;;;;0.0004963563;;0.0005431409;12613046.0;;18278496.0
;RU;1994;p99.992p100;22395398.1887;;;;;;;;;;;;;;;;;;;;;;;;34574105.414;1.69118618965;;1.79519557953;;;;;;;;;;;;0.0068835261;;0.0080052093;13242420.0;;19259242.0
;RU;1994;p99.992p99.993;13605981.8675;;;;;;;;;;;;;;;;;;;;;;;;19824275.9909;;;;;;;;;;;;;;;0.0005227476;;0.0005737584;13242420.0;;19259242.0
;RU;1994;p99.993p100;23651029.0334;;;;;;;;;;;;;;;;;;;;;;;;36681223.8617;1.69020926952;;1.79558980465;;;;;;;;;;;;0.0063607785;;0.0074314509;13992959.0;;20428510.0
;RU;1994;p99.993p99.994;14435469.6881;;;;;;;;;;;;;;;;;;;;;;;;21121061.1558;;;;;;;;;;;;;;;0.0005546169;;0.0006112903;13992959.0;;20428510.0
;RU;1994;p99.994p100;25186955.5009;;;;;;;;;;;;;;;;;;;;;;;;39274584.4494;1.68914794922;;1.79634857178;;;;;;;;;;;;0.0058061615;;0.0068201606;14911042.0;;21863566.0
;RU;1994;p99.994p99.995;15467283.6945;;;;;;;;;;;;;;;;;;;;;;;;22739257.1439;;;;;;;;;;;;;;;0.0005942596;;0.0006581245;14911042.0;;21863566.0
;RU;1994;p99.995p100;27130889.8161;;;;;;;;;;;;;;;;;;;;;;;;42581649.8294;1.6879786253;;1.79715704918;;;;;;;;;;;;0.0052119019;;0.0061620362;16073006.0;;23693894.0
;RU;1994;p99.995p99.996;16804376.974;;;;;;;;;;;;;;;;;;;;;;;;24854408.7715;;;;;;;;;;;;;;;0.0006456313;;0.0007193416;16073006.0;;23693894.0
