Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Personal dwellings | individuals | Average | Adults | constant 2015 local currency;Personal dwellings | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | Adults | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Personal dwellings | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;NO;1953;p99.95p100;2439083.17594;;;;;;;;;;;;;;;;;;;;;;;;;;;;4132470.58339;;1.8555033345;1.8555033345;;;;;;;;;;;;;;;;0.0124769647;0.0124769647;1314512.95755;2227142.63383
;NO;1952;p0p100;96684.9861534;96684.9861534;;;;;;;;;;;;;;;;;;;;;;;;;;;160541.157598;160541.157598;;;2.37042580552e+11;;;;;;;;;;;;;;3.93598756084e+11;;;;
;NO;1952;p99p100;670036.360178;;;;;;;;;;;;;;;;;;;;;;;;;;;;1112565.84063;;1.6365489477;1.6365489477;;;;;;;;;;;;;;;;0.0693009729;0.0693009729;409420.299416;679824.359785
;NO;1952;p99.9p100;1811116.33293;;;;;;;;;;;;;;;;;;;;;;;;;;;;3007278.83617;;1.8572487487;1.8572487487;;;;;;;;;;;;;;;;0.0187321362;0.0187321362;975160.884721;1619211.66363
;NO;1952;p99.99p100;5317674.23844;;;;;;;;;;;;;;;;;;;;;;;;;;;;8829763.66791;;1.9225543188;1.9225543188;;;;;;;;;;;;;;;;0.0055;0.0055;2765942.26045;4592725.19973
;NO;1952;p90p100;303514.872439;;;;;;;;;;;;;;;;;;;;;;;;;;;;503973.066638;;1.4596968352;1.4596968352;;;;;;;;;;;;;;;;0.3139214107;0.3139214107;207930.075019;345258.723936
;NO;1952;p90p95;228629.291921;;;;;;;;;;;;;;;;;;;;;;;;;;;;379628.861172;;;;;;;;;;;;;;;;;;;0.1182341235;0.1182341235;207930.075019;345258.723936
;NO;1952;p95p99;305491.476151;;;;;;;;;;;;;;;;;;;;;;;;;;;;507255.129973;;;;;;;;;;;;;;;;;;;0.1263863143;0.1263863143;256249.467406;425490.945057
;NO;1952;p99.5p99.9;656447.839289;;;;;;;;;;;;;;;;;;;;;;;;;;;;1090002.70068;;;;;;;;;;;;;;;;;;;0.0271582121;0.0271582121;518024.012121;860156.037439
;NO;1952;p99.95p99.99;1790348.85851;;;;;;;;;;;;;;;;;;;;;;;;;;;;2972795.36033;;;;;;;;;;;;;;;;;;;0.0074069364;0.0074069364;1321158.37755;2193725.24878
;NO;1952;p99.9p99.95;1126418.73137;;;;;;;;;;;;;;;;;;;;;;;;;;;;1870368.65049;;;;;;;;;;;;;;;;;;;0.0058251998;0.0058251998;975160.884721;1619211.66363
;NO;1952;p99.9p99.99;1421498.78788;;;;;;;;;;;;;;;;;;;;;;;;;;;;2360336.07709;;;;;;;;;;;;;;;;;;;0.0132321362;0.0132321362;975160.884721;1619211.66363
;NO;1952;p99p99.5;452691.182338;;;;;;;;;;;;;;;;;;;;;;;;;;;;751673.75348;;;;;;;;;;;;;;;;;;;0.0234106246;0.0234106246;409420.299416;679824.359785
;NO;1952;p95p100;378400.452957;;;;;;;;;;;;;;;;;;;;;;;;;;;;628317.272105;;1.4766877636;1.4766877636;;;;;;;;;;;;;;;;0.1956872871;0.1956872871;256249.467406;425490.945057
;NO;1952;p99.5p100;887381.538018;;;;;;;;;;;;;;;;;;;;;;;;;;;;1473457.92778;;1.7130123648;1.7130123648;;;;;;;;;;;;;;;;0.0458903483;0.0458903483;518024.012121;860156.037439
;NO;1952;p99.95p100;2495813.9345;;;;;;;;;;;;;;;;;;;;;;;;;;;;4144189.02185;;1.8891103269;1.8891103269;;;;;;;;;;;;;;;;0.0129069364;0.0129069364;1321158.37755;2193725.24878
;NO;1951;p0p100;96704.5976403;96704.5976403;;;;;;;;;;;;;;;;;;;;;;;;;;;156663.187557;156663.187557;;;2.358720874e+11;;;;;;;;;;;;;;3.82117024107e+11;;;;
;NO;1951;p99p100;788816.622688;;;;;;;;;;;;;;;;;;;;;;;;;;;;1277897.11682;;1.8541673802;1.8541673802;;;;;;;;;;;;;;;;0.0815697125;0.0815697125;425429.026045;689202.674183
;NO;1951;p99.9p100;2428650.88331;;;;;;;;;;;;;;;;;;;;;;;;;;;;3934458.11394;;2.0054893286;2.0054893286;;;;;;;;;;;;;;;;0.0251141201;0.0251141201;1211001.64869;1961844.45258
;NO;1951;p99.99p100;7929777.00652;;;;;;;;;;;;;;;;;;;;;;;;;;;;12846381.3797;;2.0087363723;2.0087363723;;;;;;;;;;;;;;;;0.0082;0.0082;3947644.45748;6395255.02552
;NO;1951;p90p100;312470.655541;;;;;;;;;;;;;;;;;;;;;;;;;;;;506208.082237;;1.5477305201;1.5477305201;;;;;;;;;;;;;;;;0.3231187174;0.3231187174;201889.574116;327064.741359
;NO;1951;p90p95;222658.859021;;;;;;;;;;;;;;;;;;;;;;;;;;;;360711.356473;;;;;;;;;;;;;;;;;;;0.1151232022;0.1151232022;201889.574116;327064.741359
;NO;1951;p95p99;305648.909404;;;;;;;;;;;;;;;;;;;;;;;;;;;;495156.730796;;;;;;;;;;;;;;;;;;;0.1264258026;0.1264258026;251707.31119;407770.371467
;NO;1951;p99.5p99.9;762820.433058;;;;;;;;;;;;;;;;;;;;;;;;;;;;1235782.82204;;;;;;;;;;;;;;;;;;;0.0315526025;0.0315526025;569459.025393;922533.863725
;NO;1951;p99.95p99.99;2315486.35275;;;;;;;;;;;;;;;;;;;;;;;;;;;;3751129.53901;;;;;;;;;;;;;;;;;;;0.0095775647;0.0095775647;1718238.88063;2783577.89176
;NO;1951;p99.9p99.95;1418957.28311;;;;;;;;;;;;;;;;;;;;;;;;;;;;2298736.32075;;;;;;;;;;;;;;;;;;;0.0073365554;0.0073365554;1211001.64869;1961844.45258
;NO;1951;p99.9p99.99;1817414.6474;;;;;;;;;;;;;;;;;;;;;;;;;;;;2944244.41775;;;;;;;;;;;;;;;;;;;0.0169141201;0.0169141201;1211001.64869;1961844.45258
;NO;1951;p99p99.5;481646.722267;;;;;;;;;;;;;;;;;;;;;;;;;;;;780276.353223;;;;;;;;;;;;;;;;;;;0.0249029898;0.0249029898;425429.026045;689202.674183
;NO;1951;p95p100;402282.452061;;;;;;;;;;;;;;;;;;;;;;;;;;;;651704.808001;;1.5982152054;1.5982152054;;;;;;;;;;;;;;;;0.2079955151;0.2079955151;251707.31119;407770.371467
;NO;1951;p99.5p100;1095986.52311;;;;;;;;;;;;;;;;;;;;;;;;;;;;1775517.88042;;1.9246099794;1.9246099794;;;;;;;;;;;;;;;;0.0566667227;0.0566667227;569459.025393;922533.863725
;NO;1951;p99.95p100;3438344.4835;;;;;;;;;;;;;;;;;;;;;;;;;;;;5570179.90714;;2.001086416;2.001086416;;;;;;;;;;;;;;;;0.0177775647;0.0177775647;1718238.88063;2783577.89176
;NO;1950;p0p100;92656.4935211;92656.4935211;;;;;;;;;;;;;;;;;;;;;;;;;;;149633.752211;149633.752211;;;2.25097183635e+11;;;;;;;;;;;;;;3.63516197511e+11;;;;
;NO;1950;p99p100;811380.26038;;;;;;;;;;;;;;;;;;;;;;;;;;;;1310322.33379;;1.8446235949;1.8446235949;;;;;;;;;;;;;;;;0.0875686344;0.0875686344;439862.236732;710346.727328
;NO;1950;p99.9p100;2439470.11414;;;;;;;;;;;;;;;;;;;;;;;;;;;;3939573.50116;;1.9144721842;1.9144721842;;;;;;;;;;;;;;;;0.0263281074;0.0263281074;1274225.93773;2057785.70914
;NO;1950;p99.99p100;7227206.49465;;;;;;;;;;;;;;;;;;;;;;;;;;;;11671432.6725;;1.8227057327;1.8227057327;;;;;;;;;;;;;;;;0.0078;0.0078;3965097.80223;6403355.44209
;NO;1950;p90p100;315943.136692;;;;;;;;;;;;;;;;;;;;;;;;;;;;510226.053589;;1.5676659567;1.5676659567;;;;;;;;;;;;;;;;0.3409832648;0.3409832648;201537.282439;325468.605986
;NO;1950;p90p95;222450.627711;;;;;;;;;;;;;;;;;;;;;;;;;;;;359242.194921;;;;;;;;;;;;;;;;;;;0.1200404954;0.1200404954;201537.282439;325468.605986
;NO;1950;p95p99;308949.491995;;;;;;;;;;;;;;;;;;;;;;;;;;;;498931.806874;;;;;;;;;;;;;;;;;;;0.133374135;0.133374135;252037.70567;407023.255089
;NO;1950;p99.5p99.9;793577.838648;;;;;;;;;;;;;;;;;;;;;;;;;;;;1281572.66864;;;;;;;;;;;;;;;;;;;0.0342589195;0.0342589195;588356.904036;950155.222207
;NO;1950;p99.95p99.99;2444072.79875;;;;;;;;;;;;;;;;;;;;;;;;;;;;3947006.51468;;;;;;;;;;;;;;;;;;;0.0105511129;0.0105511129;1789317.77817;2889622.98131
;NO;1950;p99.9p99.95;1478240.69035;;;;;;;;;;;;;;;;;;;;;;;;;;;;2387255.25608;;;;;;;;;;;;;;;;;;;0.0079769946;0.0079769946;1274225.93773;2057785.70914
;NO;1950;p99.9p99.99;1907499.40519;;;;;;;;;;;;;;;;;;;;;;;;;;;;3080478.03768;;;;;;;;;;;;;;;;;;;0.0185281074;0.0185281074;1274225.93773;2057785.70914
;NO;1950;p99p99.5;500004.227014;;;;;;;;;;;;;;;;;;;;;;;;;;;;807471.832427;;;;;;;;;;;;;;;;;;;0.0269816074;0.0269816074;439862.236732;710346.727328
;NO;1950;p95p100;409435.645672;;;;;;;;;;;;;;;;;;;;;;;;;;;;661209.912257;;1.6245015585;1.6245015585;;;;;;;;;;;;;;;;0.2209427694;0.2209427694;252037.70567;407023.255089
;NO;1950;p99.5p100;1122756.29375;;;;;;;;;;;;;;;;;;;;;;;;;;;;1813172.83515;;1.9082911852;1.9082911852;;;;;;;;;;;;;;;;0.0605870269;0.0605870269;588356.904036;950155.222207
;NO;1950;p99.95p100;3400699.53793;;;;;;;;;;;;;;;;;;;;;;;;;;;;5491891.74625;;1.9005565023;1.9005565023;;;;;;;;;;;;;;;;0.0183511129;0.0183511129;1789317.77817;2889622.98131
;NO;1949;p0p100;91077.1808296;91077.1808296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.20282092947e+11;;;;;;;;;;;;;;;;;;
;NO;1949;p99p100;809207.614148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8779746473;;;;;;;;;;;;;;;;;0.0888485575;0.0888485575;430893.790461;
;NO;1949;p99.9p100;2497695.70765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9900823569;;;;;;;;;;;;;;;;;0.0274239462;0.0274239462;1255071.52957;
;NO;1949;p99.99p100;7832637.55136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9906274664;;;;;;;;;;;;;;;;;0.0086;0.0086;3934758.10188;
;NO;1949;p90p100;309856.201445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.578015594;;;;;;;;;;;;;;;;;0.3402127719;0.3402127719;196358.136531;
;NO;1949;p90p95;216491.381337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1188505064;0.1188505064;196358.136531;
;NO;1949;p95p99;301724.373405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1325137079;0.1325137079;245733.200079;
;NO;1949;p99.5p99.9;787080.815567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0345676407;0.0345676407;582301.744996;
;NO;1949;p99.95p99.99;2463722.21508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.010820371;0.010820371;1763708.52166;
;NO;1949;p99.9p99.95;1457886.13298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0080035752;0.0080035752;1255071.52957;
;NO;1949;p99.9p99.99;1904924.39169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0188239462;0.0188239462;1255071.52957;
;NO;1949;p99p99.5;489211.434312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0268569706;0.0268569706;430893.790461;
;NO;1949;p95p100;403221.021554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6408894745;;;;;;;;;;;;;;;;;0.2213622654;0.2213622654;245733.200079;
;NO;1949;p99.5p100;1129203.79398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9392072988;;;;;;;;;;;;;;;;;0.0619915869;0.0619915869;582301.744996;
;NO;1949;p99.95p100;3537505.28233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0057199015;;;;;;;;;;;;;;;;;0.019420371;0.019420371;1763708.52166;
;NO;1948;p0p100;85840.9210512;85840.9210512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.06340886545e+11;;;;;;;;;;;;;;;;;;
;NO;1948;p99p100;780729.544866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8918114868;;;;;;;;;;;;;;;;;0.0909507418;0.0909507418;412688.870066;
;NO;1948;p99.9p100;2429231.02242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0092787472;;;;;;;;;;;;;;;;;0.028299219;0.028299219;1209006.47846;
;NO;1948;p99.99p100;7554001.05252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8912724888;;;;;;;;;;;;;;;;;0.0088;0.0088;3994136.80317;
;NO;1948;p90p100;295108.594968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6053138933;;;;;;;;;;;;;;;;;0.343785448;0.343785448;183832.330986;
;NO;1948;p90p95;204684.175733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.119222961;0.119222961;183832.330986;
;NO;1948;p95p99;286733.881536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1336117451;0.1336117451;232755.137661;
;NO;1948;p99.5p99.9;757202.930408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0352840077;0.0352840077;559762.580329;
;NO;1948;p99.95p99.99;2413874.00131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0112481272;0.0112481272;1708132.72675;
;NO;1948;p99.9p99.95;1416562.63328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0082510918;0.0082510918;1209006.47846;
;NO;1948;p99.9p99.99;1859812.13018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.019499219;0.019499219;1209006.47846;
;NO;1948;p99p99.5;469850.540923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0273675151;0.0273675151;412688.870066;
;NO;1948;p95p100;385533.014202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6563888474;;;;;;;;;;;;;;;;;0.2245624869;0.2245624869;232755.137661;
;NO;1948;p99.5p100;1091608.54881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9501277634;;;;;;;;;;;;;;;;;0.0635832267;0.0635832267;559762.580329;
;NO;1948;p99.95p100;3441899.41155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.015007006;;;;;;;;;;;;;;;;;0.0200481272;0.0200481272;1708132.72675;
;NO;1938;p0p100;64057.7189453;64057.7189453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.39409309934e+11;;;;;;;;;;;;;;;;;;
;NO;1938;p99p100;814917.455972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6097328586;;;;;;;;;;;;;;;;;0.1272161216;0.1272161216;312260.871184;
;NO;1938;p99.9p100;2921803.25593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2345752493;;;;;;;;;;;;;;;;;0.0456120403;0.0456120403;1307543.01377;
;NO;1938;p99.99p100;9288369.24708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9435648347;;;;;;;;;;;;;;;;;0.0145;0.0145;4779037.50949;
;NO;1938;p95p99;237648.059926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1483962051;0.1483962051;129708.761441;
;NO;1938;p99.5p99.9;771022.905402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0481455111;0.0481455111;468892.647399;
;NO;1938;p99.95p99.99;2923311.28521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0182542328;0.0182542328;1972988.55394;
;NO;1938;p99.9p99.95;1647283.63427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0128578075;0.0128578075;1307543.01377;
;NO;1938;p99.9p99.99;2214407.03469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0311120403;0.0311120403;1307543.01377;
;NO;1938;p99p99.5;428655.936436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0334585701;0.0334585701;312260.871184;
;NO;1938;p95p100;353101.939135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7222674491;;;;;;;;;;;;;;;;;0.2756123266;0.2756123266;129708.761441;
;NO;1938;p99.5p100;1201178.97551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5617355746;;;;;;;;;;;;;;;;;0.0937575514;0.0937575514;468892.647399;
;NO;1938;p99.95p100;4196322.87758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1268865799;;;;;;;;;;;;;;;;;0.0327542328;0.0327542328;1972988.55394;
;NO;1929;p0p100;57036.2202179;57036.2202179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.09331693244e+11;;;;;;;;;;;;;;;;;;
;NO;1929;p99p100;717227.545631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.094692893;;;;;;;;;;;;;;;;;0.1257494874;0.1257494874;342402.243319;
;NO;1929;p99.9p100;2478755.19054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1926239828;;;;;;;;;;;;;;;;;0.0434593173;0.0434593173;1130497.16232;
;NO;1929;p90p100;235661.43818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.791194;;;;;;;;;;;;;;;;;0.4131785684;0.4131785684;131566.674623;
;NO;1929;p90p95;149022.074393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1306381049;0.1306381049;131566.674623;
;NO;1929;p95p99;223569.116051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1567909761;0.1567909761;171919.493219;
;NO;1929;p99.5p99.9;672699.845835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0471770284;0.0471770284;481882.323405;
;NO;1929;p99p99.5;400544.176486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0351131417;0.0351131417;342402.243319;
;NO;1929;p95p100;322300.801967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8747193581;;;;;;;;;;;;;;;;;0.2825404635;0.2825404635;171919.493219;
;NO;1929;p99.5p100;1033910.91478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1455672154;;;;;;;;;;;;;;;;;0.0906363457;0.0906363457;481882.323405;
;NO;1913;p0p100;50466.2599915;50466.2599915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78198855306.4;;;;;;;;;;;;;;;;;;
;NO;1913;p99p100;585924.781439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1236366997;;;;;;;;;;;;;;;;;0.1161022793;0.1161022793;275906.317455;
;NO;1913;p90p100;167575.089014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0057196836;;;;;;;;;;;;;;;;;0.3320537108;0.3320537108;83548.6087044;
;NO;1913;p90p95;93351.8755577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0924893935;0.0924893935;83548.6087044;
;NO;1913;p95p99;155766.682728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.123462038;0.123462038;114134.432787;
;NO;1913;p99p99.5;326687.685397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0323669404;0.0323669404;275906.317455;
;NO;1913;p95p100;241798.30247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1185394851;;;;;;;;;;;;;;;;;0.2395643173;0.2395643173;114134.432787;
;NO;1913;p99.5p100;845161.877481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0809179563;;;;;;;;;;;;;;;;;0.083735339;0.083735339;406148.582128;
;NO;1910;p0p100;44865.5582687;44865.5582687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67101717059.4;;;;;;;;;;;;;;;;;;
;NO;1910;p99p100;468716.263737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1035330711;;;;;;;;;;;;;;;;;0.1044712875;0.1044712875;222823.339544;
;NO;1910;p90p100;134111.840808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0334335395;;;;;;;;;;;;;;;;;0.2989193626;0.2989193626;65953.3927245;
;NO;1910;p90p95;74985.5737899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0835669684;0.0835669684;65953.3927245;
;NO;1910;p95p99;124368.568847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1108811067;0.1108811067;88488.1941836;
;NO;1910;p99p99.5;245967.994324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0274116721;0.0274116721;222823.339544;
;NO;1910;p95p100;193238.107825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1837727576;;;;;;;;;;;;;;;;;0.2153523942;0.2153523942;88488.1941836;
;NO;1910;p99.5p100;691464.533151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0836694543;;;;;;;;;;;;;;;;;0.0770596154;0.0770596154;331849.435968;
;NO;1906;p0p100;40675.1347707;40675.1347707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58830277799.9;;;;;;;;;;;;;;;;;;
;NO;1906;p99p100;731408.287311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5813208655;;;;;;;;;;;;;;;;;0.1798170532;0.1798170532;283346.521184;
;NO;1906;p99.9p100;3266003.6894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7328163418;;;;;;;;;;;;;;;;;0.0802948462;0.0802948462;1195105.44469;
;NO;1906;p90p100;171596.827978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3671494445;;;;;;;;;;;;;;;;;0.4218715659;0.4218715659;72490.9144951;
;NO;1906;p90p95;79984.5994093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0983212469;0.0983212469;72490.9144951;
;NO;1906;p95p99;146159.248854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1437332657;0.1437332657;101763.98602;
;NO;1906;p99.5p99.9;605884.780517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0595828173;0.0595828173;424965.948878;
;NO;1906;p99p99.5;324908.01233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0399393898;0.0399393898;283346.521184;
;NO;1906;p95p100;263209.056546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5864656726;;;;;;;;;;;;;;;;;0.3235503189;0.3235503189;101763.98602;
;NO;1906;p99.5p100;1137908.56229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6776464451;;;;;;;;;;;;;;;;;0.1398776634;0.1398776634;424965.948878;
;NO;1903;p0p100;39306.3758636;39306.3758636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56404649364.3;;;;;;;;;;;;;;;;;;
;NO;1903;p99p100;764868.518007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6448805881;;;;;;;;;;;;;;;;;0.1945914629;0.1945914629;289188.298879;
;NO;1903;p99.9p100;3435247.60491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7513698614;;;;;;;;;;;;;;;;;0.0873967017;0.0873967017;1248559.00077;
;NO;1903;p95p99;147100.713192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1496965416;0.1496965416;101827.898653;
;NO;1903;p99.5p99.9;634306.53078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0645499888;0.0645499888;440568.71749;
